Mês		SE/CO	S		NE		N
09/2018	472.75	472.75	472.75	473.58
08/2018	505.18	505.18	505.18	505.18
07/2018	505.18	505.18	505.18	505.18
06/2018	472.87	472.87	441.96	441.96
05/2018	325.46	325.46	211.57	159.47
04/2018	109.71	109.71	108.64	51.13
03/2018	219.23	219.23	218.14	40.16
02/2018	188.79	188.54	178.54	42.91
01/2018	180.07	177.82	178.01	142.23
12/2017	235.07	235.29	234.20	233.27
11/2017	425.17	425.17	425.18	425.18
10/2017	533.82	533.82	533.82	533.82
09/2017	521.83	521.83	521.83	521.83
08/2017	505.95	505.95	505.95	505.95
07/2017	280.81	280.81	280.81	280.81
06/2017	124.70	65.91	143.59	128.96
05/2017	411.49	411.49	418.20	171.95
04/2017	371.47	371.47	372.41	33.68
03/2017	216.24	216.24	284.01	33.68
02/2017	128.43	128.43	164.66	82.18
01/2017	121.44	121.44	139.25	121.44
12/2016	122.19	122.19	122.19	122.19
11/2016	166.05	166.05	166.05	166.05
10/2016	200.21	200.21	200.21	200.21
09/2016	149.02	140.35	149.02	149.02
08/2016	115.58	112.36	119.47	119.47
07/2016	83.43	83.43	108.68	106.13
06/2016	61.32	56.13	118.60	102.22
05/2016	75.93	74.91	106.07	88.98
04/2016	49.42	49.42	266.71	49.46
03/2016	37.73	37.73	249.11	37.73
02/2016	30.42	30.42	166.28	30.42
01/2016	35.66	35.61	310.38	63.49
12/2015	116.08	110.55	303.22	166.89
11/2015	202.87	186.28	274.90	257.60
10/2015	212.32	203.72	218.92	218.92
09/2015	227.04	227.04	227.04	227.04
08/2015	145.09	145.09	145.09	145.09
07/2015	240.08	205.97	243.74	241.24
06/2015	372.73	372.73	372.73	372.73
05/2015	387.24	387.24	387.24	137.14
04/2015	388.48	388.48	388.48	127.36
03/2015	388.48	388.48	388.48	339.91
02/2015	388.48	388.48	388.48	388.48
01/2015	388.48	388.48	388.48	388.48
12/2014	601.21	601.21	601.21	601.21
11/2014	804.54	804.54	804.54	804.54
10/2014	776.88	731.53	776.88	776.88
09/2014	728.95	728.95	728.95	728.95
08/2014	709.53	709.53	709.53	709.53
07/2014	592.54	503.10	592.54	592.54
06/2014	412.65	206.99	412.60	412.60
05/2014	806.97	806.97	772.21	334.59
04/2014	822.83	822.83	744.28	640.73
03/2014	822.83	822.83	756.37	696.21
02/2014	822.83	822.83	755.90	452.44
01/2014	378.22	378.22	379.35	364.80
12/2013	290.72	290.72	291.86	290.72
11/2013	331.07	331.07	331.07	331.07
10/2013	260.99	213.92	270.23	262.48
