Subsistema,Week of Data Escala de Tempo 1 CMO,Data do Incio da Semana Din Instante CMO,Data Escala de Tempo 1 CMO,Período Exibido CMO,Texto Data do Incio da Semana Din Instante CMO,Média Semanal
Sudeste/Centro-Oeste,,*,,Semana Operativa, a ,89722.5579
Sudeste/Centro-Oeste,12/27/2014,01/02/2015,12/27/2014,Semana Operativa, a ,529.36
Sudeste/Centro-Oeste,01/03/2015,01/09/2015,01/03/2015,Semana Operativa, a ,494.4
Sudeste/Centro-Oeste,01/10/2015,01/16/2015,01/10/2015,Semana Operativa, a ,917.57
Sudeste/Centro-Oeste,01/17/2015,01/23/2015,01/17/2015,Semana Operativa, a ,1402.96
Sudeste/Centro-Oeste,01/24/2015,01/30/2015,01/24/2015,Semana Operativa, a ,1445.6099
Sudeste/Centro-Oeste,01/31/2015,02/06/2015,01/31/2015,Semana Operativa, a ,1916.92
Sudeste/Centro-Oeste,02/07/2015,02/13/2015,02/07/2015,Semana Operativa, a ,2158.57
Sudeste/Centro-Oeste,02/14/2015,02/20/2015,02/14/2015,Semana Operativa, a ,1314.92
Sudeste/Centro-Oeste,02/21/2015,02/27/2015,02/21/2015,Semana Operativa, a ,1606.42
Sudeste/Centro-Oeste,02/28/2015,03/06/2015,02/28/2015,Semana Operativa, a ,1331.34
Sudeste/Centro-Oeste,03/07/2015,03/13/2015,03/07/2015,Semana Operativa, a ,1256.26
Sudeste/Centro-Oeste,03/14/2015,03/20/2015,03/14/2015,Semana Operativa, a ,1130.44
Sudeste/Centro-Oeste,03/21/2015,03/27/2015,03/21/2015,Semana Operativa, a ,1204.34
Sudeste/Centro-Oeste,03/28/2015,04/03/2015,03/28/2015,Semana Operativa, a ,863.46
Sudeste/Centro-Oeste,04/04/2015,04/10/2015,04/04/2015,Semana Operativa, a ,916.06
Sudeste/Centro-Oeste,04/11/2015,04/17/2015,04/11/2015,Semana Operativa, a ,949.64
Sudeste/Centro-Oeste,04/18/2015,04/24/2015,04/18/2015,Semana Operativa, a ,994.27
Sudeste/Centro-Oeste,04/25/2015,05/01/2015,04/25/2015,Semana Operativa, a ,981.29
Sudeste/Centro-Oeste,05/02/2015,05/08/2015,05/02/2015,Semana Operativa, a ,438.97
Sudeste/Centro-Oeste,05/09/2015,05/15/2015,05/09/2015,Semana Operativa, a ,412.51
Sudeste/Centro-Oeste,05/16/2015,05/22/2015,05/16/2015,Semana Operativa, a ,442.06
Sudeste/Centro-Oeste,05/23/2015,05/29/2015,05/23/2015,Semana Operativa, a ,472.23
Sudeste/Centro-Oeste,05/30/2015,06/05/2015,05/30/2015,Semana Operativa, a ,367.91
Sudeste/Centro-Oeste,06/06/2015,06/12/2015,06/06/2015,Semana Operativa, a ,379.3399
Sudeste/Centro-Oeste,06/13/2015,06/19/2015,06/13/2015,Semana Operativa, a ,349.18
Sudeste/Centro-Oeste,06/20/2015,06/26/2015,06/20/2015,Semana Operativa, a ,361.45
Sudeste/Centro-Oeste,06/27/2015,07/03/2015,06/27/2015,Semana Operativa, a ,374.24
Sudeste/Centro-Oeste,07/04/2015,07/10/2015,07/04/2015,Semana Operativa, a ,315.48
Sudeste/Centro-Oeste,07/11/2015,07/17/2015,07/11/2015,Semana Operativa, a ,230.62
Sudeste/Centro-Oeste,07/18/2015,07/24/2015,07/18/2015,Semana Operativa, a ,176.96
Sudeste/Centro-Oeste,07/25/2015,07/31/2015,07/25/2015,Semana Operativa, a ,171.13
Sudeste/Centro-Oeste,08/01/2015,08/07/2015,08/01/2015,Semana Operativa, a ,111.57
Sudeste/Centro-Oeste,08/08/2015,08/14/2015,08/08/2015,Semana Operativa, a ,120.99
Sudeste/Centro-Oeste,08/15/2015,08/21/2015,08/15/2015,Semana Operativa, a ,126.93
Sudeste/Centro-Oeste,08/22/2015,08/28/2015,08/22/2015,Semana Operativa, a ,129.37
Sudeste/Centro-Oeste,08/29/2015,09/04/2015,08/29/2015,Semana Operativa, a ,260.37
Sudeste/Centro-Oeste,09/05/2015,09/11/2015,09/05/2015,Semana Operativa, a ,227.15
Sudeste/Centro-Oeste,09/12/2015,09/18/2015,09/12/2015,Semana Operativa, a ,182.68
Sudeste/Centro-Oeste,09/19/2015,09/25/2015,09/19/2015,Semana Operativa, a ,203.36
Sudeste/Centro-Oeste,09/26/2015,10/02/2015,09/26/2015,Semana Operativa, a ,191.07
Sudeste/Centro-Oeste,10/03/2015,10/09/2015,10/03/2015,Semana Operativa, a ,202.38
Sudeste/Centro-Oeste,10/10/2015,10/16/2015,10/10/2015,Semana Operativa, a ,189.49
Sudeste/Centro-Oeste,10/17/2015,10/23/2015,10/17/2015,Semana Operativa, a ,190.86
Sudeste/Centro-Oeste,10/24/2015,10/30/2015,10/24/2015,Semana Operativa, a ,204.1699
Sudeste/Centro-Oeste,10/31/2015,11/06/2015,10/31/2015,Semana Operativa, a ,234.6
Sudeste/Centro-Oeste,11/07/2015,11/13/2015,11/07/2015,Semana Operativa, a ,190.84
Sudeste/Centro-Oeste,11/14/2015,11/20/2015,11/14/2015,Semana Operativa, a ,175.48
Sudeste/Centro-Oeste,11/21/2015,11/27/2015,11/21/2015,Semana Operativa, a ,177.83
Sudeste/Centro-Oeste,11/28/2015,12/04/2015,11/28/2015,Semana Operativa, a ,124.48
Sudeste/Centro-Oeste,12/05/2015,12/11/2015,12/05/2015,Semana Operativa, a ,111.01
Sudeste/Centro-Oeste,12/12/2015,12/18/2015,12/12/2015,Semana Operativa, a ,92.18
Sudeste/Centro-Oeste,12/19/2015,12/25/2015,12/19/2015,Semana Operativa, a ,116.49
Sudeste/Centro-Oeste,12/26/2015,01/01/2016,12/26/2015,Semana Operativa, a ,27.8
Sudeste/Centro-Oeste,01/02/2016,01/08/2016,01/02/2016,Semana Operativa, a ,20.64
Sudeste/Centro-Oeste,01/09/2016,01/15/2016,01/09/2016,Semana Operativa, a ,12.6
Sudeste/Centro-Oeste,01/16/2016,01/22/2016,01/16/2016,Semana Operativa, a ,9.66
Sudeste/Centro-Oeste,01/23/2016,01/29/2016,01/23/2016,Semana Operativa, a ,6.07
Sudeste/Centro-Oeste,01/30/2016,02/05/2016,01/30/2016,Semana Operativa, a ,2.62
Sudeste/Centro-Oeste,02/06/2016,02/12/2016,02/06/2016,Semana Operativa, a ,0.08
Sudeste/Centro-Oeste,02/13/2016,02/19/2016,02/13/2016,Semana Operativa, a ,1.19
Sudeste/Centro-Oeste,02/20/2016,02/26/2016,02/20/2016,Semana Operativa, a ,1.79
Sudeste/Centro-Oeste,02/27/2016,03/04/2016,02/27/2016,Semana Operativa, a ,21.69
Sudeste/Centro-Oeste,03/05/2016,03/11/2016,03/05/2016,Semana Operativa, a ,37.1599
Sudeste/Centro-Oeste,03/12/2016,03/18/2016,03/12/2016,Semana Operativa, a ,19.64
Sudeste/Centro-Oeste,03/19/2016,03/25/2016,03/19/2016,Semana Operativa, a ,15.02
Sudeste/Centro-Oeste,03/26/2016,04/01/2016,03/26/2016,Semana Operativa, a ,29.15
Sudeste/Centro-Oeste,04/02/2016,04/08/2016,04/02/2016,Semana Operativa, a ,32.83
Sudeste/Centro-Oeste,04/09/2016,04/15/2016,04/09/2016,Semana Operativa, a ,37.5
Sudeste/Centro-Oeste,04/16/2016,04/22/2016,04/16/2016,Semana Operativa, a ,39.62
Sudeste/Centro-Oeste,04/23/2016,04/29/2016,04/23/2016,Semana Operativa, a ,40.08
Sudeste/Centro-Oeste,04/30/2016,05/06/2016,04/30/2016,Semana Operativa, a ,64.74
Sudeste/Centro-Oeste,05/07/2016,05/13/2016,05/07/2016,Semana Operativa, a ,57.33
Sudeste/Centro-Oeste,05/14/2016,05/20/2016,05/14/2016,Semana Operativa, a ,54.01
Sudeste/Centro-Oeste,05/21/2016,05/27/2016,05/21/2016,Semana Operativa, a ,51.82
Sudeste/Centro-Oeste,05/28/2016,06/03/2016,05/28/2016,Semana Operativa, a ,40.07
Sudeste/Centro-Oeste,06/04/2016,06/10/2016,06/04/2016,Semana Operativa, a ,38.24
Sudeste/Centro-Oeste,06/11/2016,06/17/2016,06/11/2016,Semana Operativa, a ,36.58
Sudeste/Centro-Oeste,06/18/2016,06/24/2016,06/18/2016,Semana Operativa, a ,36.15
