MAX MIN 1 CE Simp 4,MIN MAX 1 CE Simp 4,Month of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
12/6/2018,11/26/2018,December 2018,12/1/2018 12:00:00 AM,Mês,*,67825.28794629
11/6/2018,10/27/2018,November 2018,11/1/2018 12:00:00 AM,Mês,*,67688.92795636
10/6/2018,9/26/2018,October 2018,10/1/2018 12:00:00 AM,Mês,*,67444.63000101
9/6/2018,8/27/2018,September 2018,9/1/2018 12:00:00 AM,Mês,*,65238.18435723
8/6/2018,7/27/2018,August 2018,8/1/2018 12:00:00 AM,Mês,*,64446.38245543
7/6/2018,6/26/2018,July 2018,7/1/2018 12:00:00 AM,Mês,*,63570.97638395
6/6/2018,5/27/2018,June 2018,6/1/2018 12:00:00 AM,Mês,*,63574.27148665
5/6/2018,4/26/2018,May 2018,5/1/2018 12:00:00 AM,Mês,*,63838.99327745
4/6/2018,3/27/2018,April 2018,4/1/2018 12:00:00 AM,Mês,*,67472.68979532
3/6/2018,2/24/2018,March 2018,3/1/2018 12:00:00 AM,Mês,*,70657.71133725
2/6/2018,1/27/2018,February 2018,2/1/2018 12:00:00 AM,Mês,*,68466.40716682
1/6/2018,12/27/2017,January 2018,1/1/2018 12:00:00 AM,Mês,*,68555.53658021
12/6/2017,11/26/2017,December 2017,12/1/2017 12:00:00 AM,Mês,*,66621.5512638
11/6/2017,10/27/2017,November 2017,11/1/2017 12:00:00 AM,Mês,*,66002.48641376
10/6/2017,9/26/2017,October 2017,10/1/2017 12:00:00 AM,Mês,*,66440.91735027
9/6/2017,8/27/2017,September 2017,9/1/2017 12:00:00 AM,Mês,*,65267.63895119
8/6/2017,7/27/2017,August 2017,8/1/2017 12:00:00 AM,Mês,*,63258.96040211
7/6/2017,6/26/2017,July 2017,7/1/2017 12:00:00 AM,Mês,*,61192.92235581
6/6/2017,5/27/2017,June 2017,6/1/2017 12:00:00 AM,Mês,*,63002.04459811
5/6/2017,4/26/2017,May 2017,5/1/2017 12:00:00 AM,Mês,*,63909.21600682
4/6/2017,3/27/2017,April 2017,4/1/2017 12:00:00 AM,Mês,*,64583.32720467
3/6/2017,2/24/2017,March 2017,3/1/2017 12:00:00 AM,Mês,*,69023.5519039
2/6/2017,1/27/2017,February 2017,2/1/2017 12:00:00 AM,Mês,*,69898.61036054
1/6/2017,12/27/2016,January 2017,1/1/2017 12:00:00 AM,Mês,*,68125.63827492
12/6/2016,11/26/2016,December 2016,12/1/2016 12:00:00 AM,Mês,*,65113.56502116
11/6/2016,10/27/2016,November 2016,11/1/2016 12:00:00 AM,Mês,*,64916.27475594
10/6/2016,9/26/2016,October 2016,10/1/2016 12:00:00 AM,Mês,*,64412.29484821
9/6/2016,8/27/2016,September 2016,9/1/2016 12:00:00 AM,Mês,*,63651.49590146
8/6/2016,7/27/2016,August 2016,8/1/2016 12:00:00 AM,Mês,*,63193.18268802
7/6/2016,6/26/2016,July 2016,7/1/2016 12:00:00 AM,Mês,*,61610.98362779
6/6/2016,5/27/2016,June 2016,6/1/2016 12:00:00 AM,Mês,*,62063.16910238
5/6/2016,4/26/2016,May 2016,5/1/2016 12:00:00 AM,Mês,*,62742.18562967
4/6/2016,3/27/2016,April 2016,4/1/2016 12:00:00 AM,Mês,*,68220.38711232
3/6/2016,2/25/2016,March 2016,3/1/2016 12:00:00 AM,Mês,*,67242.71665317
2/6/2016,1/27/2016,February 2016,2/1/2016 12:00:00 AM,Mês,*,68245.63680791
1/6/2016,12/27/2015,January 2016,1/1/2016 12:00:00 AM,Mês,*,64187.37900836
12/6/2015,11/26/2015,December 2015,12/1/2015 12:00:00 AM,Mês,*,64886.86472006
11/6/2015,10/27/2015,November 2015,11/1/2015 12:00:00 AM,Mês,*,65341.74750847
10/6/2015,9/26/2015,October 2015,10/1/2015 12:00:00 AM,Mês,*,65889.69447852
9/6/2015,8/27/2015,September 2015,9/1/2015 12:00:00 AM,Mês,*,64090.67756411
8/6/2015,7/27/2015,August 2015,8/1/2015 12:00:00 AM,Mês,*,62190.83224772
7/6/2015,6/26/2015,July 2015,7/1/2015 12:00:00 AM,Mês,*,61076.27729873
6/6/2015,5/27/2015,June 2015,6/1/2015 12:00:00 AM,Mês,*,61302.84944216
5/6/2015,4/26/2015,May 2015,5/1/2015 12:00:00 AM,Mês,*,62050.24730299
4/6/2015,3/27/2015,April 2015,4/1/2015 12:00:00 AM,Mês,*,64530.17271368
3/6/2015,2/24/2015,March 2015,3/1/2015 12:00:00 AM,Mês,*,67029.85761306
2/6/2015,1/27/2015,February 2015,2/1/2015 12:00:00 AM,Mês,*,67907.79097774
1/6/2015,12/27/2014,January 2015,1/1/2015 12:00:00 AM,Mês,*,69418.2877926
