MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Month of Data Escala de Tempo 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
12/7/2018,Selecione Tipo de ENAS Simp 4,11/25/2018,December 2018,,12/1/2018 12:00:00 AM,Mês,Nordeste,,8857
11/7/2018,Selecione Tipo de ENAS Simp 4,10/26/2018,November 2018,,11/1/2018 12:00:00 AM,Mês,Nordeste,,3568
10/7/2018,Selecione Tipo de ENAS Simp 4,9/25/2018,October 2018,,10/1/2018 12:00:00 AM,Mês,Nordeste,,1351
9/7/2018,Selecione Tipo de ENAS Simp 4,8/26/2018,September 2018,,9/1/2018 12:00:00 AM,Mês,Nordeste,,1219
8/7/2018,Selecione Tipo de ENAS Simp 4,7/26/2018,August 2018,,8/1/2018 12:00:00 AM,Mês,Nordeste,,1316
7/7/2018,Selecione Tipo de ENAS Simp 4,6/25/2018,July 2018,,7/1/2018 12:00:00 AM,Mês,Nordeste,,1416
6/7/2018,Selecione Tipo de ENAS Simp 4,5/26/2018,June 2018,,6/1/2018 12:00:00 AM,Mês,Nordeste,,1809
5/7/2018,Selecione Tipo de ENAS Simp 4,4/25/2018,May 2018,,5/1/2018 12:00:00 AM,Mês,Nordeste,,2582
4/7/2018,Selecione Tipo de ENAS Simp 4,3/26/2018,April 2018,,4/1/2018 12:00:00 AM,Mês,Nordeste,,5708
3/7/2018,Selecione Tipo de ENAS Simp 4,2/23/2018,March 2018,,3/1/2018 12:00:00 AM,Mês,Nordeste,,7889
2/7/2018,Selecione Tipo de ENAS Simp 4,1/26/2018,February 2018,,2/1/2018 12:00:00 AM,Mês,Nordeste,,6487
1/7/2018,Selecione Tipo de ENAS Simp 4,12/26/2017,January 2018,,1/1/2018 12:00:00 AM,Mês,Nordeste,,4993
12/7/2017,Selecione Tipo de ENAS Simp 4,11/25/2017,December 2017,,12/1/2017 12:00:00 AM,Mês,Nordeste,,5861
