 NUM SISTEMA        JAN        FEV        MAR        ABR        MAI        JUN        JUL        AGO        SET        OUT        NOV        DEZ
XXXX XXXXXXXXXX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX
   1 SUDESTE       4818.99    8714.20    8019.95    5727.41    2876.92    2268.91    1800.71    1802.31    1649.49    1412.53    2828.34    5564.65
   6 MADEIRA       9188.13   11295.71   12072.88   11522.55    8542.63    5778.42    3026.69    1994.70    1493.58    1327.67    2822.56    5196.64
   7 TPIRES        2241.05    3619.74    3795.65    3886.04    1955.60    1025.77     633.47     492.08     391.65     436.41     679.65    1481.46
   5 ITAIPU       10483.69    7242.50    7814.42    6966.37    4357.08    4013.73    3290.82    3325.99    3626.17    4310.55    7149.42    6677.83
  10 PARANA       28601.50   23136.53   24866.05   16830.92   10875.52    9452.87    7497.62    7613.81    7144.87    5977.29   12818.00   22225.25
  12 PRNPANEMA     7569.27    4148.89    3557.46    3087.61    1886.85    1770.18    1367.84    1835.78    1674.63    2477.17    5380.96    3722.21
   2 SUL           5781.92    2489.56    2698.66    2529.34    1767.16    3205.92    4677.95    3620.51    9440.30    5040.27    4077.29    2492.93
  11 IGUACU        8595.72    4839.07    4086.56    3579.21    1355.18    1922.86    1895.82    1272.94    3616.62    5981.17    8012.21    4053.29
   3 NORDESTE      4993.52    6487.92    7889.14    5709.39    2580.62    1808.93    1416.44    1316.79    1246.17     695.54    1321.10    5527.81
   4 NORTE         5715.26   13732.00   15306.26   15831.89    6560.52    2698.76    1548.01    1123.88     985.62     708.91    1568.29    4021.91
   8 BMONTE        4164.79    9044.61   10739.15   10289.14    7910.06    3330.28    1118.76     454.33     295.39      84.69     331.89    2083.81
   9 MAN-AP         530.27     912.07     899.92    2001.82    2174.17    1656.45    1275.43     750.72     511.13     252.71     178.72     273.17
