month,value
December 2018,39788.33948936
November 2018,39078.33811349
October 2018,39305.40599252
September 2018,38116.06171883
August 2018,37382.22000492
July 2018,37047.20278571
June 2018,37058.70379856
May 2018,37317.51299009
April 2018,39562.78562019
March 2018,41864.0894168
February 2018,39930.85519573
January 2018,40070.25576101
December 2017,38434.79184789
November 2017,38233.1163888
October 2017,39024.64011509
September 2017,38263.81691628
August 2017,36575.59673649
July 2017,35352.02202723
June 2017,36555.45979111
May 2017,36915.27798084
April 2017,37778.24278557
March 2017,40531.7025195
February 2017,41016.37524973
January 2017,39921.23333548
December 2016,37599.09948698
November 2016,37402.36663729
October 2016,37703.12219417
September 2016,37414.56968863
August 2016,36964.01090709
July 2016,35943.32567673
June 2016,35668.35619135
May 2016,36489.89741982
April 2016,40562.77142847
March 2016,39743.02162886
February 2016,40324.15728661
January 2016,37362.51974634
December 2015,38110.38337257
November 2015,38433.06889509
October 2015,39159.22561865
September 2015,37944.84847428
August 2015,36645.6938438
July 2015,35804.65631059
June 2015,35762.25387528
May 2015,36216.22456983
April 2015,38008.00657551
March 2015,39364.21499493
February 2015,40056.05793554
January 2015,41386.73862457
