month,value
January 2015,34644
February 2015,42080
March 2015,58037
April 2015,68274
May 2015,73329
June 2015,73501
July 2015,76088
August 2015,69723
September 2015,65634
October 2015,56405
November 2015,55920
December 2015,60580
January 2016,90350
February 2016,103557
March 2016,118510
April 2016,117344
May 2016,115591
June 2016,114155
July 2016,104905
August 2016,93418
September 2016,81654
October 2016,70826
November 2016,68055
December 2016,68612
January 2017,75909
February 2017,82112
March 2017,84294
April 2017,85117
May 2017,88088
June 2017,85638
July 2017,77600
August 2017,66083
September 2017,49225
October 2017,35804
November 2017,38098
December 2017,45936
January 2018,63400
February 2018,75115
March 2018,86083
April 2018,89454
May 2018,86626
June 2018,80832
July 2018,69705
August 2018,56955
September 2018,46692
October 2018,41210
November 2018,48916
December 2018,55822
