month,value
December 2018,45264
November 2018,40273
October 2018,25715
September 2018,16273
August 2018,16965
July 2018,17710
June 2018,24455
May 2018,30687
April 2018,48223
March 2018,59192
February 2018,56966
January 2018,62065
December 2017,44611
November 2017,31494
October 2017,15858
September 2017,12801
August 2017,17251
July 2017,20006
June 2017,33779
May 2017,38796
April 2017,38854
March 2017,45477
February 2017,49325
January 2017,43926
December 2016,36708
November 2016,27150
October 2016,19836
September 2016,18521
August 2016,21118
July 2016,22642
June 2016,37570
May 2016,33758
April 2016,37150
March 2016,64152
February 2016,58383
January 2016,79607
December 2015,42805
November 2015,31879
October 2015,19777
September 2015,20875
August 2015,15974
July 2015,28195
June 2015,22846
May 2015,29896
April 2015,36750
March 2015,42715
February 2015,34475
January 2015,22132
