MAX MIN 1 GE Simp 4,MIN MAX 1 GE Simp 4,Month of Data Escala de Tempo 1 GE Simp 4,Data Escala de Tempo 1 GE Simp 4,"dsc_estado, dsc_estado, dsc_estado and 1 more","id_subsistema (gr_usinaprevcarga), id_subsistema (gr_usinaprevcarga), id_subsistema (gr_usinaprevcarga) and 1 more","nom_tipousinasite, nom_tipousinasite, nom_tipousinasite and 1 more","nom_usina, nom_usina, nom_usina and 1 more",Período Exibido GE,Selecione Tipo de GE Simp 4
12/6/2018 12:00:00 AM,11/26/2018 12:00:00 AM,December 2018,12/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,38822.387343430
11/6/2018 12:00:00 AM,10/27/2018 12:00:00 AM,November 2018,11/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,38951.49904939
10/6/2018 12:00:00 AM,9/26/2018 12:00:00 AM,October 2018,10/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,38156.33329792
9/6/2018 12:00:00 AM,8/27/2018 12:00:00 AM,September 2018,9/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,34779.55879086
8/6/2018 12:00:00 AM,7/27/2018 12:00:00 AM,August 2018,8/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,36681.69585999
7/6/2018 12:00:00 AM,6/26/2018 12:00:00 AM,July 2018,7/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,36788.08277529
6/6/2018 12:00:00 AM,5/27/2018 12:00:00 AM,June 2018,6/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,37503.84030591
5/6/2018 12:00:00 AM,4/26/2018 12:00:00 AM,May 2018,5/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,37332.87476988
4/6/2018 12:00:00 AM,3/27/2018 12:00:00 AM,April 2018,4/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,39766.70649291
3/6/2018 12:00:00 AM,2/24/2018 12:00:00 AM,March 2018,3/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,42905.92204164
2/6/2018 12:00:00 AM,1/27/2018 12:00:00 AM,February 2018,2/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,40266.09394272
1/6/2018 12:00:00 AM,12/27/2017 12:00:00 AM,January 2018,1/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,40366.98343114
12/6/2017 12:00:00 AM,11/26/2017 12:00:00 AM,December 2017,12/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,41285.34184457
11/6/2017 12:00:00 AM,10/27/2017 12:00:00 AM,November 2017,11/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,38810.96405341
10/6/2017 12:00:00 AM,9/26/2017 12:00:00 AM,October 2017,10/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,38451.91075681
9/6/2017 12:00:00 AM,8/27/2017 12:00:00 AM,September 2017,9/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,38017.96591275
8/6/2017 12:00:00 AM,7/27/2017 12:00:00 AM,August 2017,8/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,36903.63673294
7/6/2017 12:00:00 AM,6/26/2017 12:00:00 AM,July 2017,7/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,35748.38202356
6/6/2017 12:00:00 AM,5/27/2017 12:00:00 AM,June 2017,6/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,34929.38978769
5/6/2017 12:00:00 AM,4/26/2017 12:00:00 AM,May 2017,5/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,39046.787977140
4/6/2017 12:00:00 AM,3/27/2017 12:00:00 AM,April 2017,4/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,40010.03278207
3/6/2017 12:00:00 AM,2/24/2017 12:00:00 AM,March 2017,3/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,41944.34251625
2/6/2017 12:00:00 AM,1/27/2017 12:00:00 AM,February 2017,2/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,41399.54524669
1/6/2017 12:00:00 AM,12/27/2016 12:00:00 AM,January 2017,1/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,40544.86333247
12/6/2016 12:00:00 AM,11/26/2016 12:00:00 AM,December 2016,12/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,39149.00033301
11/6/2016 12:00:00 AM,10/27/2016 12:00:00 AM,November 2016,11/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,38167.27942501
10/6/2016 12:00:00 AM,9/26/2016 12:00:00 AM,October 2016,10/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,*,*,Mês,37825.35820146
