MAX MIN 1 GE Simp 4,MIN MAX 1 GE Simp 4,Month of Data Escala de Tempo 1 GE Simp 4,Data Escala de Tempo 1 GE Simp 4,"dsc_estado, dsc_estado, dsc_estado and 1 more","id_subsistema (gr_usinaprevcarga), id_subsistema (gr_usinaprevcarga), id_subsistema (gr_usinaprevcarga) and 1 more","nom_tipousinasite, nom_tipousinasite, nom_tipousinasite and 1 more","nom_usina, nom_usina, nom_usina and 1 more",Período Exibido GE,Selecione Tipo de GE Simp 4
12/6/2018 12:00:00 AM,11/26/2018 12:00:00 AM,December 2018,12/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,33749.41086471
11/6/2018 12:00:00 AM,10/27/2018 12:00:00 AM,November 2018,11/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,33316.40639209
10/6/2018 12:00:00 AM,9/26/2018 12:00:00 AM,October 2018,10/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,29492.01514729
9/6/2018 12:00:00 AM,8/27/2018 12:00:00 AM,September 2018,9/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,23983.96484926
8/6/2018 12:00:00 AM,7/27/2018 12:00:00 AM,August 2018,8/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,26937.72163453
7/6/2018 12:00:00 AM,6/26/2018 12:00:00 AM,July 2018,7/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,26176.09246551
6/6/2018 12:00:00 AM,5/27/2018 12:00:00 AM,June 2018,6/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,27216.63562889
5/6/2018 12:00:00 AM,4/26/2018 12:00:00 AM,May 2018,5/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,28456.67098703
4/6/2018 12:00:00 AM,3/27/2018 12:00:00 AM,April 2018,4/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,32470.08413872
3/6/2018 12:00:00 AM,2/24/2018 12:00:00 AM,March 2018,3/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,37374.23124165
2/6/2018 12:00:00 AM,1/27/2018 12:00:00 AM,February 2018,2/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,35302.25660749
