month,value
December 2018,33749.41086471
November 2018,33316.40639209
October 2018,29492.01514729
September 2018,23983.96484926
August 2018,26937.72163453
July 2018,26176.09246551
June 2018,27216.63562889
May 2018,28456.67098703
April 2018,32470.08413872
March 2018,37374.23124165
February 2018,35302.25660749
January 2018,35203.96038454
December 2017,33726.35426618
November 2017,28480.75716362
October 2017,27327.40686275
September 2017,26497.30719578
August 2017,25513.07221635
July 2017,25388.07537588
June 2017,26903.90220411
May 2017,29412.16991426
April 2017,30826.5416159
March 2017,35252.80075112
February 2017,36459.06987787
January 2017,35483.63767092
December 2016,33698.46112159
November 2016,29694.81061907
October 2016,28518.09423547
September 2016,27712.17104975
August 2016,28437.35521863
July 2016,28894.87041011
June 2016,29805.92363915
May 2016,29426.18594984
April 2016,30455.64638056
March 2016,32396.12433443
February 2016,32191.33484955
January 2016,31307.3049506
December 2015,28067.66809229
November 2015,27779.07419617
October 2015,27128.17184488
September 2015,23805.56709454
August 2015,22751.31828376
July 2015,23401.04813915
June 2015,23403.7138477
May 2015,24783.93303173
April 2015,25719.07952314
March 2015,27382.62026095
February 2015,26648.05487266
January 2015,27963.10908224
