month,value
December 2018,1870.62727448
November 2018,1366.22436425
October 2018,1891.42867531
September 2018,2012.13598567
August 2018,2021.54739331
July 2018,2007.28796389
June 2018,2008.9379657
May 2018,2009.17146827
April 2018,1977.58930266
March 2018,1150.1592672
February 2018,1226.82925868
January 2018,1881.60332052
December 2017,1809.75416596
November 2017,2004.55669133
October 2017,1596.70548619
September 2017,1361.09211661
August 2017,1719.03952259
July 2017,1913.79233991
June 2017,1748.99729255
May 2017,1905.80741279
April 2017,1999.45841136
March 2017,1776.36746884
February 2017,1784.09988414
January 2017,1937.05332521
December 2016,1185.61030845
November 2016,1200.78767068
October 2016,2013.97064037
September 2016,2019.89047162
August 2016,1991.60499576
July 2016,1537.72092698
June 2016,1735.94992063
May 2016,2010.77814896
April 2016,1983.62528726
March 2016,1997.758286
February 2016,1993.03562506
January 2016,2004.77236524
December 2015,2004.32699537
November 2015,1980.20867072
October 2015,692.28556861
September 2015,1583.47897046
August 2015,1834.53154652
July 2015,1836.73987705
June 2015,1378.65433982
May 2015,1516.99526173
April 2015,2014.78002522
March 2015,1777.61538497
February 2015,1713.06081316
January 2015,1959.75109243
