month,value
December 2018,3054.12429865
November 2018,4154.31286886
October 2018,6646.67239802
September 2018,8642.82098197
August 2018,7601.07221792
July 2018,8479.65244867
June 2018,8168.41045528
May 2018,6762.05282809
April 2018,5228.60290533
March 2018,4296.13230574
February 2018,3666.82405911
January 2018,3196.52039937
December 2017,5688.20811471
November 2017,8276.52916609
October 2017,9472.36993943
September 2017,10134.52608707
August 2017,9662.02472712
July 2017,8441.61590394
June 2017,6272.06009064
May 2017,7722.67067823
April 2017,7178.36563607
March 2017,4907.60936895
February 2017,3148.61829541
January 2017,3109.08635349
December 2016,4256.17660256
November 2016,7260.27703038
October 2016,7281.69796796
September 2016,7671.59747456
August 2016,6960.80343545
July 2016,5927.21299809
June 2016,5763.48318623
May 2016,5839.89660005
April 2016,5559.94661805
March 2016,3825.34967674
February 2016,4780.77869822
January 2016,5305.02556881
December 2015,7188.12219153
November 2015,8481.09759078
October 2015,9635.65766369
September 2015,9540.09135541
August 2015,9283.68874657
July 2015,9080.10729465
June 2015,10017.45996838
May 2015,9485.66564672
April 2015,8477.26583112
March 2015,7164.4703942
February 2015,7256.59613647
January 2015,7077.21639863
