month,value
December 2018,6.51766132
November 2018,9.26106676
October 2018,9.64055113
September 2018,7.35609876
August 2018,4.98691526
July 2018,4.7155607
June 2018,4.24222721
May 2018,2.30897769
April 2018,1.85771424
March 2018,3.67481063
February 2018,6.47917375
January 2018,9.98659998
December 2017,8.19373272
November 2017,9.69900293
October 2017,13.60024753
September 2017,16.3809277
August 2017,9.1382102
July 2017,4.58604192
June 2017,4.1469946
May 2017,5.86868505
April 2017,5.31887905
March 2017,7.15695472
February 2017,7.33746044
January 2017,14.66838402
December 2016,8.32606514
November 2016,11.00015271
October 2016,11.15289508
September 2016,10.04615169
August 2016,9.62026159
July 2016,4.93385998
June 2016,2.7660454
May 2016,3.4494229
April 2016,6.88479173
March 2016,7.52322887
February 2016,9.5752115
January 2016,8.35163228
December 2015,12.3369067
November 2015,7.22924028
October 2015,11.65777859
September 2015,10.27744321
August 2015,8.06666997
July 2015,8.15877736
June 2015,4.09790631
May 2015,3.84759935
April 2015,3.74473
March 2015,5.99144922
February 2015,12.41947473
January 2015,16.95875107
