MAX MIN 1 CE Simp 4,MIN MAX 1 CE Simp 4,Month of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
3/6/2019,2/24/2019,March 2019,3/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40546.38988796
2/6/2019,1/27/2019,February 2019,2/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,42032.58011343
1/6/2019,12/27/2018,January 2019,1/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,43229.28003807
12/6/2018,11/26/2018,December 2018,12/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39795.04522459
11/6/2018,10/27/2018,November 2018,11/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39081.99899164
10/6/2018,9/26/2018,October 2018,10/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39306.72848965
9/6/2018,8/27/2018,September 2018,9/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38118.44237497
8/6/2018,7/27/2018,August 2018,8/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37386.34329758
7/6/2018,6/26/2018,July 2018,7/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37051.34095252
6/6/2018,5/27/2018,June 2018,6/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37061.2161764
5/6/2018,4/26/2018,May 2018,5/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37321.79217747
4/6/2018,3/27/2018,April 2018,4/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39565.92228191
3/6/2018,2/24/2018,March 2018,3/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41868.01506425
2/6/2018,1/27/2018,February 2018,2/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39935.52406991
1/6/2018,12/27/2017,January 2018,1/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40074.27087158
12/6/2017,11/26/2017,December 2017,12/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38434.79184789
11/6/2017,10/27/2017,November 2017,11/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38233.1163888
10/6/2017,9/26/2017,October 2017,10/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39024.64011509
9/6/2017,8/27/2017,September 2017,9/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38263.81691628
8/6/2017,7/27/2017,August 2017,8/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36575.59673649
7/6/2017,6/26/2017,July 2017,7/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,35352.02202723
6/6/2017,5/27/2017,June 2017,6/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36555.45979111
5/6/2017,4/26/2017,May 2017,5/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36915.27798084
4/6/2017,3/27/2017,April 2017,4/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37778.24278557
3/6/2017,2/24/2017,March 2017,3/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40531.7025195
2/6/2017,1/27/2017,February 2017,2/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41016.37524973
