month,value
March 2019,40546.38988796
February 2019,42032.58011343
January 2019,43229.28003807
December 2018,39795.04522459
November 2018,39081.99899164
October 2018,39306.72848965
September 2018,38118.44237497
August 2018,37386.34329758
July 2018,37051.34095252
June 2018,37061.2161764
May 2018,37321.79217747
April 2018,39565.92228191
March 2018,41868.01506425
February 2018,39935.52406991
January 2018,40074.27087158
December 2017,38434.79184789
November 2017,38233.1163888
October 2017,39024.64011509
September 2017,38263.81691628
August 2017,36575.59673649
July 2017,35352.02202723
June 2017,36555.45979111
May 2017,36915.27798084
April 2017,37778.24278557
March 2017,40531.7025195
February 2017,41016.37524973
January 2017,39921.23333548
December 2016,37599.09948698
November 2016,37402.36663729
October 2016,37703.12219417
September 2016,37414.56968863
August 2016,36964.01090709
July 2016,35943.32567673
June 2016,35668.35619135
May 2016,36489.89741982
April 2016,40562.77142847
March 2016,39743.02162886
February 2016,40324.15728661
January 2016,37362.51974634
December 2015,38110.38337257
November 2015,38433.06889509
October 2015,39159.22561865
September 2015,37944.84847428
August 2015,36645.6938438
July 2015,35804.65631059
June 2015,35762.25387528
May 2015,36216.22456983
April 2015,38008.00657551
March 2015,39364.21499493
February 2015,40056.05793554
January 2015,41386.73862457
December 2014,36005.59120057
November 2014,36282.80032222
October 2014,37018.12461828
September 2014,36132.52703889
August 2014,34538.25096218
July 2014,34147.18328226
June 2014,34139.92385219
May 2014,35309.99570584
April 2014,37205.69661111
March 2014,39095.54253328
February 2014,41438.71704364
January 2014,39865.24713038
December 2013,36142.93522755
November 2013,36667.1582875
October 2013,36574.3326901
September 2013,36213.15495694
August 2013,35494.40212366
July 2013,34424.816875
June 2013,34705.99124444
May 2013,34899.74480232
April 2013,36101.98164028
March 2013,37837.36129704
February 2013,38378.93335268
January 2013,36389.67059274
December 2012,36967.36060618
November 2012,34769.84773228
October 2012,36893.14645161
September 2012,35552.69857083
August 2012,34936.40371385
July 2012,33895.00643817
June 2012,34275.30270247
May 2012,34276.55668683
April 2012,36567.22059722
March 2012,38365.98607527
February 2012,37839.21125
January 2012,35193.3249328
