Month of Data Escala de Tempo 1 EA Simp 4,Data Escala de Tempo 1 EA Simp 4,Período Exibido EA Simp 4,Subsistema,val_eaconsimp4
January 2000,1/1/2000,Mês,Sudeste/Centro-Oeste,45444
February 2000,2/1/2000,Mês,Sudeste/Centro-Oeste,70383
March 2000,3/1/2000,Mês,Sudeste/Centro-Oeste,90662
April 2000,4/1/2000,Mês,Sudeste/Centro-Oeste,92010
May 2000,5/1/2000,Mês,Sudeste/Centro-Oeste,83606
June 2000,6/1/2000,Mês,Sudeste/Centro-Oeste,74991
July 2000,7/1/2000,Mês,Sudeste/Centro-Oeste,63510
August 2000,8/1/2000,Mês,Sudeste/Centro-Oeste,51328
September 2000,9/1/2000,Mês,Sudeste/Centro-Oeste,49056
October 2000,10/1/2000,Mês,Sudeste/Centro-Oeste,36661
November 2000,11/1/2000,Mês,Sudeste/Centro-Oeste,35327
December 2000,12/1/2000,Mês,Sudeste/Centro-Oeste,45614
January 2001,1/1/2001,Mês,Sudeste/Centro-Oeste,50205
February 2001,2/1/2001,Mês,Sudeste/Centro-Oeste,53632
March 2001,3/1/2001,Mês,Sudeste/Centro-Oeste,55365
April 2001,4/1/2001,Mês,Sudeste/Centro-Oeste,51570
May 2001,5/1/2001,Mês,Sudeste/Centro-Oeste,47701
June 2001,6/1/2001,Mês,Sudeste/Centro-Oeste,45827
July 2001,7/1/2001,Mês,Sudeste/Centro-Oeste,42866
August 2001,8/1/2001,Mês,Sudeste/Centro-Oeste,37450
September 2001,9/1/2001,Mês,Sudeste/Centro-Oeste,33036
October 2001,10/1/2001,Mês,Sudeste/Centro-Oeste,34927
November 2001,11/1/2001,Mês,Sudeste/Centro-Oeste,38341
December 2001,12/1/2001,Mês,Sudeste/Centro-Oeste,53771
January 2002,1/1/2002,Mês,Sudeste/Centro-Oeste,77797
February 2002,2/1/2002,Mês,Sudeste/Centro-Oeste,104684
March 2002,3/1/2002,Mês,Sudeste/Centro-Oeste,116326
April 2002,4/1/2002,Mês,Sudeste/Centro-Oeste,114449
May 2002,5/1/2002,Mês,Sudeste/Centro-Oeste,115131
June 2002,6/1/2002,Mês,Sudeste/Centro-Oeste,110616
July 2002,7/1/2002,Mês,Sudeste/Centro-Oeste,105623
August 2002,8/1/2002,Mês,Sudeste/Centro-Oeste,95025
September 2002,9/1/2002,Mês,Sudeste/Centro-Oeste,87101
October 2002,10/1/2002,Mês,Sudeste/Centro-Oeste,72695
November 2002,11/1/2002,Mês,Sudeste/Centro-Oeste,68229
December 2002,12/1/2002,Mês,Sudeste/Centro-Oeste,73490
January 2003,1/1/2003,Mês,Sudeste/Centro-Oeste,104370
February 2003,2/1/2003,Mês,Sudeste/Centro-Oeste,120626
March 2003,3/1/2003,Mês,Sudeste/Centro-Oeste,132062
April 2003,4/1/2003,Mês,Sudeste/Centro-Oeste,137767
May 2003,5/1/2003,Mês,Sudeste/Centro-Oeste,135140
June 2003,6/1/2003,Mês,Sudeste/Centro-Oeste,129420
July 2003,7/1/2003,Mês,Sudeste/Centro-Oeste,119546
August 2003,8/1/2003,Mês,Sudeste/Centro-Oeste,104987
September 2003,9/1/2003,Mês,Sudeste/Centro-Oeste,88963
October 2003,10/1/2003,Mês,Sudeste/Centro-Oeste,72420
November 2003,11/1/2003,Mês,Sudeste/Centro-Oeste,63924
December 2003,12/1/2003,Mês,Sudeste/Centro-Oeste,66300
January 2004,1/1/2004,Mês,Sudeste/Centro-Oeste,84092
February 2004,2/1/2004,Mês,Sudeste/Centro-Oeste,118021
March 2004,3/1/2004,Mês,Sudeste/Centro-Oeste,134810
April 2004,4/1/2004,Mês,Sudeste/Centro-Oeste,143448
May 2004,5/1/2004,Mês,Sudeste/Centro-Oeste,146823
June 2004,6/1/2004,Mês,Sudeste/Centro-Oeste,146290
July 2004,7/1/2004,Mês,Sudeste/Centro-Oeste,142867
August 2004,8/1/2004,Mês,Sudeste/Centro-Oeste,132503
September 2004,9/1/2004,Mês,Sudeste/Centro-Oeste,117244
October 2004,10/1/2004,Mês,Sudeste/Centro-Oeste,109894
November 2004,11/1/2004,Mês,Sudeste/Centro-Oeste,105462
December 2004,12/1/2004,Mês,Sudeste/Centro-Oeste,114789
January 2005,1/1/2005,Mês,Sudeste/Centro-Oeste,134743
February 2005,2/1/2005,Mês,Sudeste/Centro-Oeste,140032
March 2005,3/1/2005,Mês,Sudeste/Centro-Oeste,152784
April 2005,4/1/2005,Mês,Sudeste/Centro-Oeste,152492
May 2005,5/1/2005,Mês,Sudeste/Centro-Oeste,151776
June 2005,6/1/2005,Mês,Sudeste/Centro-Oeste,146838
July 2005,7/1/2005,Mês,Sudeste/Centro-Oeste,139016
August 2005,8/1/2005,Mês,Sudeste/Centro-Oeste,124603
September 2005,9/1/2005,Mês,Sudeste/Centro-Oeste,116086
October 2005,10/1/2005,Mês,Sudeste/Centro-Oeste,107336
November 2005,11/1/2005,Mês,Sudeste/Centro-Oeste,105328
December 2005,12/1/2005,Mês,Sudeste/Centro-Oeste,119483
January 2006,1/1/2006,Mês,Sudeste/Centro-Oeste,126686
February 2006,2/1/2006,Mês,Sudeste/Centro-Oeste,139721
March 2006,3/1/2006,Mês,Sudeste/Centro-Oeste,151957
April 2006,4/1/2006,Mês,Sudeste/Centro-Oeste,156654
May 2006,5/1/2006,Mês,Sudeste/Centro-Oeste,153616
June 2006,6/1/2006,Mês,Sudeste/Centro-Oeste,142051
July 2006,7/1/2006,Mês,Sudeste/Centro-Oeste,130067
August 2006,8/1/2006,Mês,Sudeste/Centro-Oeste,110122
September 2006,9/1/2006,Mês,Sudeste/Centro-Oeste,93419
October 2006,10/1/2006,Mês,Sudeste/Centro-Oeste,85598
November 2006,11/1/2006,Mês,Sudeste/Centro-Oeste,80292
December 2006,12/1/2006,Mês,Sudeste/Centro-Oeste,100672
January 2007,1/1/2007,Mês,Sudeste/Centro-Oeste,147361
February 2007,2/1/2007,Mês,Sudeste/Centro-Oeste,158729
March 2007,3/1/2007,Mês,Sudeste/Centro-Oeste,163820
April 2007,4/1/2007,Mês,Sudeste/Centro-Oeste,166150
May 2007,5/1/2007,Mês,Sudeste/Centro-Oeste,164167
June 2007,6/1/2007,Mês,Sudeste/Centro-Oeste,157374
July 2007,7/1/2007,Mês,Sudeste/Centro-Oeste,150447
August 2007,8/1/2007,Mês,Sudeste/Centro-Oeste,136252
September 2007,9/1/2007,Mês,Sudeste/Centro-Oeste,117362
October 2007,10/1/2007,Mês,Sudeste/Centro-Oeste,97646
November 2007,11/1/2007,Mês,Sudeste/Centro-Oeste,91160
December 2007,12/1/2007,Mês,Sudeste/Centro-Oeste,87269
January 2008,1/1/2008,Mês,Sudeste/Centro-Oeste,96064
