month,value
January 2000,45444
February 2000,70383
March 2000,90662
April 2000,92010
May 2000,83606
June 2000,74991
July 2000,63510
August 2000,51328
September 2000,49056
October 2000,36661
November 2000,35327
December 2000,45614
January 2001,50205
February 2001,53632
March 2001,55365
April 2001,51570
May 2001,47701
June 2001,45827
July 2001,42866
August 2001,37450
September 2001,33036
October 2001,34927
November 2001,38341
December 2001,53771
January 2002,77797
February 2002,104684
March 2002,116326
April 2002,114449
May 2002,115131
June 2002,110616
July 2002,105623
August 2002,95025
September 2002,87101
October 2002,72695
November 2002,68229
December 2002,73490
January 2003,104370
February 2003,120626
March 2003,132062
April 2003,137767
May 2003,135140
June 2003,129420
July 2003,119546
August 2003,104987
September 2003,88963
October 2003,72420
November 2003,63924
December 2003,66300
January 2004,84092
February 2004,118021
March 2004,134810
April 2004,143448
May 2004,146823
June 2004,146290
July 2004,142867
August 2004,132503
September 2004,117244
October 2004,109894
November 2004,105462
December 2004,114789
January 2005,134743
February 2005,140032
March 2005,152784
April 2005,152492
May 2005,151776
June 2005,146838
July 2005,139016
August 2005,124603
September 2005,116086
October 2005,107336
November 2005,105328
December 2005,119483
January 2006,126686
February 2006,139721
March 2006,151957
April 2006,156654
May 2006,153616
June 2006,142051
July 2006,130067
August 2006,110122
September 2006,93419
October 2006,85598
November 2006,80292
December 2006,100672
January 2007,147361
February 2007,158729
March 2007,163820
April 2007,166150
May 2007,164167
June 2007,157374
July 2007,150447
August 2007,136252
September 2007,117362
October 2007,97646
November 2007,91160
December 2007,87269
January 2008,96064
February 2008,124072
March 2008,148528
April 2008,155601
May 2008,156855
June 2008,150511
July 2008,138407
August 2008,125625
September 2008,109454
October 2008,98213
November 2008,94086
December 2008,105620
January 2009,125087
February 2009,143922
March 2009,152470
April 2009,158076
May 2009,155502
June 2009,148658
July 2009,143991
August 2009,137143
September 2009,132861
October 2009,130931
November 2009,129937
December 2009,139562
January 2010,148451
February 2010,150673
March 2010,159719
April 2010,158356
May 2010,152236
June 2010,143927
July 2010,131391
August 2010,117153
September 2010,98554
October 2010,86242
November 2010,81323
December 2010,89592
January 2011,126055
February 2011,136306
March 2011,165938
April 2011,175697
May 2011,175777
June 2011,170682
July 2011,161370
August 2011,148254
September 2011,130796
October 2011,122834
November 2011,114148
December 2011,121371
January 2012,152258
February 2012,160148
March 2012,157083
April 2012,152208
May 2012,144931
June 2012,144981
July 2012,133897
August 2012,115108
September 2012,95852
October 2012,74098
November 2012,63831
December 2012,57899
January 2013,75166
February 2013,91484
March 2013,108668
April 2013,125496
May 2013,125900
June 2013,127942
July 2013,122106
August 2013,110606
September 2013,97676
October 2013,90418
November 2013,83513
December 2013,86283
January 2014,80592
February 2014,69678
March 2014,72925
April 2014,76293
May 2014,75935
June 2014,74076
July 2014,69783
August 2014,61628
September 2014,51179
October 2014,38104
November 2014,32164
December 2014,39261
January 2015,34644
February 2015,42080
March 2015,58037
April 2015,68274
May 2015,73329
June 2015,73501
July 2015,76088
August 2015,69723
September 2015,65634
October 2015,56405
November 2015,55920
December 2015,60580
January 2016,90350
February 2016,103557
March 2016,118510
April 2016,117344
May 2016,115591
June 2016,114155
July 2016,104905
August 2016,93418
September 2016,81654
October 2016,70826
November 2016,68055
December 2016,68612
January 2017,75909
February 2017,82112
March 2017,84294
April 2017,85117
May 2017,88088
June 2017,85638
July 2017,77600
August 2017,66083
September 2017,49225
October 2017,35804
November 2017,38098
December 2017,45936
January 2018,63400
February 2018,75115
March 2018,86083
April 2018,89454
May 2018,86626
June 2018,80832
July 2018,69705
August 2018,56955
September 2018,46692
October 2018,41210
November 2018,48916
December 2018,55822
January 2019,54439
February 2019,59711
March 2019,81351
April 2019,91704
May 2019,95867
June 2019,96330
