MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Month of Data Escala de Tempo 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
6/7/2019,Selecione Tipo de ENAS Simp 4,5/26/2019,June 2019,,6/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,37961
5/7/2019,Selecione Tipo de ENAS Simp 4,4/25/2019,May 2019,,5/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,38136
4/7/2019,Selecione Tipo de ENAS Simp 4,3/26/2019,April 2019,,4/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,51981
3/7/2019,Selecione Tipo de ENAS Simp 4,2/23/2019,March 2019,,3/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,65524
2/7/2019,Selecione Tipo de ENAS Simp 4,1/26/2019,February 2019,,2/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,45782
1/7/2019,Selecione Tipo de ENAS Simp 4,12/26/2018,January 2019,,1/1/2019 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,41297
12/7/2018,Selecione Tipo de ENAS Simp 4,11/25/2018,December 2018,,12/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,45120
11/7/2018,Selecione Tipo de ENAS Simp 4,10/26/2018,November 2018,,11/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,40306
10/7/2018,Selecione Tipo de ENAS Simp 4,9/25/2018,October 2018,,10/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,25745
9/7/2018,Selecione Tipo de ENAS Simp 4,8/26/2018,September 2018,,9/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,16298
8/7/2018,Selecione Tipo de ENAS Simp 4,7/26/2018,August 2018,,8/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,16999
7/7/2018,Selecione Tipo de ENAS Simp 4,6/25/2018,July 2018,,7/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,17763
6/7/2018,Selecione Tipo de ENAS Simp 4,5/26/2018,June 2018,,6/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,24558
5/7/2018,Selecione Tipo de ENAS Simp 4,4/25/2018,May 2018,,5/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,30835
4/7/2018,Selecione Tipo de ENAS Simp 4,3/26/2018,April 2018,,4/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,48422
3/7/2018,Selecione Tipo de ENAS Simp 4,2/23/2018,March 2018,,3/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,59408
2/7/2018,Selecione Tipo de ENAS Simp 4,1/26/2018,February 2018,,2/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,57356
1/7/2018,Selecione Tipo de ENAS Simp 4,12/26/2017,January 2018,,1/1/2018 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,62416
12/7/2017,Selecione Tipo de ENAS Simp 4,11/25/2017,December 2017,,12/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,44611
11/7/2017,Selecione Tipo de ENAS Simp 4,10/26/2017,November 2017,,11/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,31580
10/7/2017,Selecione Tipo de ENAS Simp 4,9/25/2017,October 2017,,10/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,15893
9/7/2017,Selecione Tipo de ENAS Simp 4,8/26/2017,September 2017,,9/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,12804
8/7/2017,Selecione Tipo de ENAS Simp 4,7/26/2017,August 2017,,8/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,17272
7/7/2017,Selecione Tipo de ENAS Simp 4,6/25/2017,July 2017,,7/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20073
6/7/2017,Selecione Tipo de ENAS Simp 4,5/26/2017,June 2017,,6/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,33954
5/7/2017,Selecione Tipo de ENAS Simp 4,4/25/2017,May 2017,,5/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,38930
4/7/2017,Selecione Tipo de ENAS Simp 4,3/26/2017,April 2017,,4/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,39046
3/7/2017,Selecione Tipo de ENAS Simp 4,2/23/2017,March 2017,,3/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,45626
2/7/2017,Selecione Tipo de ENAS Simp 4,1/26/2017,February 2017,,2/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,49413
1/7/2017,Selecione Tipo de ENAS Simp 4,12/26/2016,January 2017,,1/1/2017 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,43991
12/7/2016,Selecione Tipo de ENAS Simp 4,11/25/2016,December 2016,,12/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,36781
11/7/2016,Selecione Tipo de ENAS Simp 4,10/26/2016,November 2016,,11/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,27177
10/7/2016,Selecione Tipo de ENAS Simp 4,9/25/2016,October 2016,,10/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,19831
9/7/2016,Selecione Tipo de ENAS Simp 4,8/26/2016,September 2016,,9/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,18529
8/7/2016,Selecione Tipo de ENAS Simp 4,7/26/2016,August 2016,,8/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,21078
7/7/2016,Selecione Tipo de ENAS Simp 4,6/25/2016,July 2016,,7/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22565
6/7/2016,Selecione Tipo de ENAS Simp 4,5/26/2016,June 2016,,6/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,37570
5/7/2016,Selecione Tipo de ENAS Simp 4,4/25/2016,May 2016,,5/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,33804
4/7/2016,Selecione Tipo de ENAS Simp 4,3/26/2016,April 2016,,4/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,37299
3/7/2016,Selecione Tipo de ENAS Simp 4,2/24/2016,March 2016,,3/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,64348
2/7/2016,Selecione Tipo de ENAS Simp 4,1/26/2016,February 2016,,2/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,58433
1/7/2016,Selecione Tipo de ENAS Simp 4,12/26/2015,January 2016,,1/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,79774
12/7/2015,Selecione Tipo de ENAS Simp 4,11/25/2015,December 2015,,12/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,42829
