month,value
June 2019,37961
May 2019,38136
April 2019,51981
March 2019,65524
February 2019,45782
January 2019,41297
December 2018,45120
November 2018,40306
October 2018,25745
September 2018,16298
August 2018,16999
July 2018,17763
June 2018,24558
May 2018,30835
April 2018,48422
March 2018,59408
February 2018,57356
January 2018,62416
December 2017,44611
November 2017,31580
October 2017,15893
September 2017,12804
August 2017,17272
July 2017,20073
June 2017,33954
May 2017,38930
April 2017,39046
March 2017,45626
February 2017,49413
January 2017,43991
December 2016,36781
November 2016,27177
October 2016,19831
September 2016,18529
August 2016,21078
July 2016,22565
June 2016,37570
May 2016,33804
April 2016,37299
March 2016,64348
February 2016,58433
January 2016,79774
December 2015,42829
November 2015,31888
October 2015,19782
September 2015,20882
August 2015,15977
July 2015,28201
June 2015,22851
May 2015,29901
April 2015,36755
March 2015,42725
February 2015,34485
January 2015,22136
December 2014,34680
November 2014,18256
October 2014,13717
September 2014,14425
August 2014,15011
July 2014,17830
June 2014,25637
May 2014,22490
April 2014,33430
March 2014,34618
February 2014,22933
January 2014,30017
December 2013,42072
November 2013,23994
October 2013,25144
September 2013,17956
August 2013,20192
July 2013,32104
June 2013,40178
May 2013,30809
April 2013,54285
March 2013,51912
February 2013,59842
January 2013,49195
December 2012,27463
November 2012,22914
October 2012,14962
September 2012,14559
August 2012,17076
July 2012,26180
June 2012,38037
May 2012,29561
April 2012,31815
March 2012,36630
February 2012,48934
January 2012,72789
December 2011,43984
November 2011,26897
October 2011,24796
September 2011,16470
August 2011,23879
July 2011,24105
June 2011,27812
May 2011,33385
April 2011,54629
March 2011,85632
February 2011,49524
January 2011,75724
December 2010,43939
November 2010,28702
October 2010,21654
September 2010,13662
August 2010,15682
July 2010,20106
June 2010,22872
May 2010,28655
April 2010,44618
March 2010,52661
February 2010,58325
January 2010,69533
December 2009,60641
November 2009,36406
October 2009,35874
September 2009,31058
August 2009,23743
July 2009,27295
June 2009,24853
May 2009,30321
April 2009,47047
March 2009,45869
February 2009,63980
January 2009,52764
December 2008,36588
November 2008,25110
October 2008,20249
September 2008,15756
August 2008,22161
July 2008,20671
June 2008,27472
May 2008,35143
April 2008,50522
March 2008,61448
February 2008,61334
January 2008,36679
December 2007,28837
November 2007,22923
October 2007,12987
September 2007,12866
August 2007,18420
July 2007,22805
June 2007,23394
May 2007,28212
April 2007,34189
March 2007,49542
February 2007,87708
January 2007,91862
December 2006,54270
November 2006,27276
October 2006,24904
September 2006,17777
August 2006,16697
July 2006,19492
June 2006,22055
May 2006,27371
April 2006,46596
March 2006,53957
February 2006,45281
January 2006,43279
December 2005,52106
November 2005,26776
October 2005,22237
September 2005,18677
August 2005,15772
July 2005,19797
June 2005,26004
May 2005,28437
April 2005,33775
March 2005,50460
February 2005,53793
January 2005,62062
December 2004,36949
November 2004,24341
October 2004,20414
September 2004,14056
August 2004,17926
July 2004,25748
June 2004,31063
May 2004,34322
April 2004,42596
March 2004,55638
February 2004,63078
January 2004,41871
December 2003,31096
November 2003,19715
October 2003,14434
September 2003,13775
August 2003,14322
July 2003,17978
June 2003,20893
May 2003,24330
April 2003,38173
March 2003,43648
February 2003,56502
January 2003,53642
December 2002,31571
November 2002,20493
October 2002,11875
September 2002,15884
August 2002,14947
July 2002,16434
June 2002,18769
May 2002,25732
April 2002,26746
March 2002,42351
February 2002,60323
January 2002,50973
