MAX MIN 1 GE Simp 4,MIN MAX 1 GE Simp 4,Month of Data Escala de Tempo 1 GE Simp 4,Data Escala de Tempo 1 GE Simp 4,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
3/6/2019 12:00:00 AM,2/24/2019 12:00:00 AM,March 2019,3/1/2019 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,32530.22174078
2/6/2019 12:00:00 AM,1/27/2019 12:00:00 AM,February 2019,2/1/2019 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,33620.13560409
1/6/2019 12:00:00 AM,12/27/2018 12:00:00 AM,January 2019,1/1/2019 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,35634.43053418
12/6/2018 12:00:00 AM,11/26/2018 12:00:00 AM,December 2018,12/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,33776.84719662
11/6/2018 12:00:00 AM,10/27/2018 12:00:00 AM,November 2018,11/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,33341.36704948
10/6/2018 12:00:00 AM,9/26/2018 12:00:00 AM,October 2018,10/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,29503.08200607
9/6/2018 12:00:00 AM,8/27/2018 12:00:00 AM,September 2018,9/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,23991.69969827
8/6/2018 12:00:00 AM,7/27/2018 12:00:00 AM,August 2018,8/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,26948.0267081
7/6/2018 12:00:00 AM,6/26/2018 12:00:00 AM,July 2018,7/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,26188.6964625
6/6/2018 12:00:00 AM,5/27/2018 12:00:00 AM,June 2018,6/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,2,27230.83098122
