month,value
March 2019,32530.22174078
February 2019,33620.13560409
January 2019,35634.43053418
December 2018,33776.84719662
November 2018,33341.36704948
October 2018,29503.08200607
September 2018,23991.69969827
August 2018,26948.0267081
July 2018,26188.6964625
June 2018,27230.83098122
May 2018,28476.36141456
April 2018,32497.65878531
March 2018,37399.76622357
February 2018,35333.08798395
January 2018,35228.55534115
December 2017,33726.83163002
November 2017,28480.75716362
October 2017,27327.40686275
September 2017,26497.30719578
August 2017,25513.07221635
July 2017,25388.07537588
June 2017,26903.90220411
May 2017,29412.16991426
April 2017,30826.5416159
March 2017,35252.80075112
February 2017,36459.06987787
January 2017,35483.63767092
December 2016,33698.46112159
November 2016,29694.81061907
October 2016,28518.09423547
September 2016,27712.17104975
August 2016,28437.35521863
July 2016,28894.87041011
June 2016,29805.92363915
May 2016,29426.18594984
April 2016,30455.64638056
March 2016,32396.12433443
February 2016,32191.33484955
January 2016,31307.3049506
December 2015,28067.66809229
November 2015,27779.07419617
October 2015,27128.17184488
September 2015,23805.56709454
August 2015,22751.31828376
July 2015,23401.04813915
June 2015,23403.7138477
May 2015,24783.93303173
April 2015,25719.07952314
March 2015,27382.62026095
February 2015,26648.05487266
January 2015,27963.10908224
December 2014,26738.31160561
November 2014,25260.8705856
October 2014,25731.53680529
September 2014,23973.41278005
August 2014,23260.38044701
July 2014,22977.91990538
June 2014,22354.7616453
May 2014,23229.33081734
April 2014,26578.15640229
March 2014,27909.54322528
February 2014,32011.57105605
January 2014,31922.76856131
December 2013,32557.73854793
November 2013,30712.63101337
October 2013,29277.86167376
September 2013,28365.21573562
August 2013,28295.05501296
July 2013,28836.80501292
June 2013,28430.46451342
May 2013,27355.87012049
April 2013,28150.82715231
March 2013,29303.5903355
February 2013,30827.95778218
January 2013,29135.27100749
December 2012,31949.0699995
November 2012,31692.68372176
October 2012,32192.00542024
September 2012,31329.08340231
August 2012,32205.41063121
July 2012,32610.80501289
June 2012,32312.11486064
May 2012,33939.50642421
April 2012,33730.49545791
March 2012,35872.58049679
February 2012,35360.66073226
January 2012,34708.4655506
December 2011,33454.63314464
November 2011,31781.33490232
October 2011,29959.02176086
September 2011,30074.58637457
August 2011,30338.66171987
July 2011,29786.38251295
June 2011,30357.42213841
May 2011,29367.62581937
April 2011,30631.88076344
March 2011,30633.02470802
February 2011,30923.56223168
January 2011,32442.5977683
December 2010,31973.84684092
November 2010,32143.52136066
October 2010,29754.2539371
September 2010,29480.035569
August 2010,28458.15348068
July 2010,29493.12954254
June 2010,27914.24309678
May 2010,28228.27990541
April 2010,29785.95552736
March 2010,30941.67854787
February 2010,30857.99961265
January 2010,31122.98610684
December 2009,30389.53223069
November 2009,31519.44322181
October 2009,29134.95983996
September 2009,28993.58918011
August 2009,28095.07411243
July 2009,29640.25532215
June 2009,29053.76822179
May 2009,29232.15403178
April 2009,32314.09148569
March 2009,32458.89760703
February 2009,31791.29715729
January 2009,28662.1054028
December 2008,26691.14583291
November 2008,26915.25701356
October 2008,29567.06666451
September 2008,29402.37743012
August 2008,30841.8983328
July 2008,29031.4868678
June 2008,30432.57933291
May 2008,29882.29525496
April 2008,31867.05779126
March 2008,31294.89463668
February 2008,28183.12428117
January 2008,29239.7786958
December 2007,30056.47182748
November 2007,28687.16588848
October 2007,29654.4873003
September 2007,29686.69298296
August 2007,28732.48680598
July 2007,27845.64002642
June 2007,26835.59991631
May 2007,26023.75537587
April 2007,29975.7688885
March 2007,32135.86597538
February 2007,32535.04656207
January 2007,31380.17583287
December 2006,29764.77810445
November 2006,30607.0963534
October 2006,29192.46249956
September 2006,29701.91588853
August 2006,30706.05779519
July 2006,29736.60653182
June 2006,29489.48451346
May 2006,28411.73860172
April 2006,29347.99101355
March 2006,30445.75147813
February 2006,28936.21095199
January 2006,29816.95248617
December 2005,28988.75084634
November 2005,26283.4324038
October 2005,25830.21966891
September 2005,24836.91991632
August 2005,27301.5406851
July 2005,25131.32423344
June 2005,26052.25054128
May 2005,27060.29491899
April 2005,29899.06177741
March 2005,30423.45357488
February 2005,29548.27717229
January 2005,29557.48366898
December 2004,27541.58338665
November 2004,25565.43424876
October 2004,25219.24283561
September 2004,26849.09383439
August 2004,25705.10596871
July 2004,25033.00197542
June 2004,26497.19718021
May 2004,26754.53098078
April 2004,27196.41961076
March 2004,27943.00271461
February 2004,25247.49555993
January 2004,24295.41524155
December 2003,26128.51360181
November 2003,27262.92444407
October 2003,28240.53954673
September 2003,27503.49654128
August 2003,26250.72881683
July 2003,24837.7551744
June 2003,23851.39231909
May 2003,24439.8042066
April 2003,25971.39415803
March 2003,24857.15801035
February 2003,26679.4716068
January 2003,23443.11206952
December 2002,22972.4732389
November 2002,23080.70681848
October 2002,23772.2569217
September 2002,21935.11154135
August 2002,22583.10950236
July 2002,20944.96676039
June 2002,20625.62823582
May 2002,22704.57911255
April 2002,24477.07240249
March 2002,23879.77315823
February 2002,21679.31220207
January 2002,20853.35685446
December 2001,17960.67767442
November 2001,18036.69361077
October 2001,16963.29178903
September 2001,16596.46302746
August 2001,16028.09604806
July 2001,16300.37446202
June 2001,16906.73055527
May 2001,21228.54852118
April 2001,24128.66611086
March 2001,24130.54274158
February 2001,24245.97961279
January 2001,23773.3501341
December 2000,24150.33813136
November 2000,24263.18986082
October 2000,25278.12833654
September 2000,25094.51155525
August 2000,25684.94153196
July 2000,25921.51169324
June 2000,26493.21083302
May 2000,26388.68252656
April 2000,26232.95430525
March 2000,26228.03789123
February 2000,25775.63835778
January 2000,25017.76733433
December 1999,24309.09446206
November 1999,24742.99736082
October 1999,25061.1411825
September 1999,25869.99416638
August 1999,25299.2280911
July 1999,24726.46908572
June 1999,25357.43527751
May 1999,24746.74817172
April 1999,25055.23241642
March 1999,25792.60322548
February 1999,25408.68467237
January 1999,23796.44771479
