MAX MIN 1 GE Simp 4,MIN MAX 1 GE Simp 4,Month of Data Escala de Tempo 1 GE Simp 4,Data Escala de Tempo 1 GE Simp 4,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
3/6/2019 12:00:00 AM,2/24/2019 12:00:00 AM,March 2019,3/1/2019 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,1725.97488707
2/6/2019 12:00:00 AM,1/27/2019 12:00:00 AM,February 2019,2/1/2019 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,1990.33457724
1/6/2019 12:00:00 AM,12/27/2018 12:00:00 AM,January 2019,1/1/2019 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,1905.8032001
12/6/2018 12:00:00 AM,11/26/2018 12:00:00 AM,December 2018,12/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,1870.62727448
11/6/2018 12:00:00 AM,10/27/2018 12:00:00 AM,November 2018,11/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,1366.22436425
10/6/2018 12:00:00 AM,9/26/2018 12:00:00 AM,October 2018,10/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,1891.42867531
9/6/2018 12:00:00 AM,8/27/2018 12:00:00 AM,September 2018,9/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,2012.13598567
8/6/2018 12:00:00 AM,7/27/2018 12:00:00 AM,August 2018,8/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,2021.54739331
7/6/2018 12:00:00 AM,6/26/2018 12:00:00 AM,July 2018,7/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,2007.28796389
6/6/2018 12:00:00 AM,5/27/2018 12:00:00 AM,June 2018,6/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,2008.9379657
5/6/2018 12:00:00 AM,4/26/2018 12:00:00 AM,May 2018,5/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,2,2009.17146827
