month,value
March 2019,1725.97488707
February 2019,1990.33457724
January 2019,1905.8032001
December 2018,1870.62727448
November 2018,1366.22436425
October 2018,1891.42867531
September 2018,2012.13598567
August 2018,2021.54739331
July 2018,2007.28796389
June 2018,2008.9379657
May 2018,2009.17146827
April 2018,1977.58930266
March 2018,1150.1592672
February 2018,1226.82925868
January 2018,1881.60332052
December 2017,1809.75416596
November 2017,2004.55669133
October 2017,1596.70548619
September 2017,1361.09211661
August 2017,1719.03952259
July 2017,1913.79233991
June 2017,1748.99729255
May 2017,1905.80741279
April 2017,1999.45841136
March 2017,1776.36746884
February 2017,1784.09988414
January 2017,1937.05332521
December 2016,1185.61030845
November 2016,1200.78767068
October 2016,2013.97064037
September 2016,2019.89047162
August 2016,1991.60499576
July 2016,1537.72092698
June 2016,1735.94992063
May 2016,2010.77814896
April 2016,1983.62528726
March 2016,1997.758286
February 2016,1993.03562506
January 2016,2004.77236524
December 2015,2004.32699537
November 2015,1980.20867072
October 2015,692.28556861
September 2015,1583.47897046
August 2015,1834.53154652
July 2015,1836.73987705
June 2015,1378.65433982
May 2015,1516.99526173
April 2015,2014.78002522
March 2015,1777.61538497
February 2015,1713.06081316
January 2015,1959.75109243
December 2014,2005.57194219
November 2014,1944.64408472
October 2014,2014.64963744
September 2014,2018.4143625
August 2014,847.72836424
July 2014,1245.78312633
June 2014,1932.43770012
May 2014,1878.57911813
April 2014,1364.14891666
March 2014,1910.40130644
February 2014,1984.53027678
January 2014,1981.33056181
December 2013,1905.88857526
November 2013,1987.678
October 2013,1970.33742109
September 2013,1884.4829861
August 2013,1809.64345429
July 2013,1761.82115591
June 2013,1880.40484722
May 2013,730.7098387
April 2013,1632.93349999
March 2013,1730.67551074
February 2013,1332.42278273
January 2013,1401.68641128
December 2012,1869.37065859
November 2012,1988.53022222
October 2012,1988.70699099
September 2012,1949.8719861
August 2012,1977.27827956
July 2012,1985.99061827
June 2012,1979.97058333
May 2012,1985.11966397
April 2012,1953.84080555
March 2012,689.76818547
February 2012,1658.81445401
January 2012,1894.82241935
December 2011,1978.50946236
November 2011,1958.02649999
October 2011,1588.11348818
September 2011,1603.42491666
August 2011,1642.07841397
July 2011,1912.5943145
June 2011,1962.5183611
May 2011,1650.28920698
April 2011,1678.82355555
March 2011,1845.62508063
February 2011,1779.28101189
January 2011,1852.76391128
December 2010,1734.4026344
November 2010,602.58761111
October 2010,1509.6848089
September 2010,1852.3108611
August 2010,1443.39110214
July 2010,1647.93540321
June 2010,1979.77574999
May 2010,1718.09900537
April 2010,1569.84890277
March 2010,1969.79580644
February 2010,1904.97002975
January 2010,1967.26619622
December 2009,1791.32678762
November 2009,1634.74180555
October 2009,1439.94383823
September 2009,1613.87065277
August 2009,651.51650537
July 2009,1807.42330645
June 2009,1750.9691111
May 2009,1350.4100672
April 2009,1320.91863888
March 2009,1341.41693548
February 2009,1346.18863095
January 2009,1703.57342741
December 2008,1864.24564515
November 2008,1827.25866666
October 2008,1835.29068372
September 2008,1867.81505554
August 2008,1839.19874999
July 2008,1862.44111558
June 2008,788.13868054
May 2008,990.81034945
April 2008,1513.5438611
March 2008,1342.18552419
