month,value
March 2019,4019.97894752
February 2019,5068.50770731
January 2019,3004.76555679
December 2018,3053.93869865
November 2018,4154.30856887
October 2018,6646.76779803
September 2018,8642.71108197
August 2018,7601.21451791
July 2018,8479.55304867
June 2018,8168.47165528
May 2018,6762.01882809
April 2018,5228.68620533
March 2018,4296.05470574
February 2018,3666.7718591
January 2018,3196.41749937
December 2017,5688.20811471
November 2017,8276.52916609
October 2017,9472.36993943
September 2017,10134.52608707
August 2017,9662.02472712
July 2017,8441.61590394
June 2017,6272.06009064
May 2017,7722.67067823
April 2017,7178.36563607
March 2017,4907.60936895
February 2017,3148.61829541
January 2017,3109.08635349
December 2016,4256.17660256
November 2016,7260.27703038
October 2016,7281.69796796
September 2016,7671.59747456
August 2016,6960.80343545
July 2016,5927.21299809
June 2016,5763.48318623
May 2016,5839.89660005
April 2016,5559.94661805
March 2016,3825.34967674
February 2016,4780.77869822
January 2016,5305.02556881
December 2015,7188.12219153
November 2015,8481.09759078
October 2015,9635.65766369
September 2015,9540.09135541
August 2015,9283.68874657
July 2015,9080.10729465
June 2015,10017.45996838
May 2015,9485.66564672
April 2015,8477.26583112
March 2015,7164.4703942
February 2015,7256.59613647
January 2015,7077.21639863
December 2014,7395.60437912
November 2014,7068.30424012
October 2014,7057.72479913
September 2014,6985.6958679
August 2014,7638.86825637
July 2014,7076.40469335
June 2014,6859.82849325
May 2014,7222.4438254
April 2014,6788.47763868
March 2014,6827.43075624
February 2014,6478.02977267
January 2014,4065.458598
December 2013,4362.86588597
November 2013,5055.19878738
October 2013,4810.87398726
September 2013,4942.42073457
August 2013,5408.37888429
July 2013,5077.8874259
June 2013,5703.89193878
May 2013,6534.82583713
April 2013,5619.27461236
March 2013,5493.28906574
February 2013,6132.17640316
January 2013,6341.19087488
December 2012,6164.53306571
November 2012,6571.27009326
October 2012,5961.95718375
September 2012,4820.34293182
August 2012,2496.29277283
July 2012,2224.70532246
June 2012,3112.86423009
May 2012,3470.34788962
April 2012,3958.97713875
March 2012,2387.02037621
February 2012,1707.45837631
January 2012,1353.88841389
December 2011,1716.06870956
November 2011,1731.25333325
October 2011,1772.43252914
September 2011,1792.32709712
August 2011,2017.33182786
July 2011,1815.14630367
June 2011,1910.97308325
May 2011,1304.3143682
April 2011,1218.60144437
March 2011,1390.12145153
February 2011,1730.71116242
January 2011,1502.90065852
December 2010,2956.81301064
November 2010,4425.33772214
October 2010,3893.06342496
September 2010,4586.80213876
August 2010,4017.14916654
July 2010,2346.51248646
June 2010,2466.82695824
May 2010,1598.91888429
April 2010,796.61908327
March 2010,1201.42688163
February 2010,1492.9806547
January 2010,895.70147841
December 2009,674.15313166
November 2009,663.58188882
October 2009,501.75896965
September 2009,364.77271496
August 2009,515.87176071
July 2009,520.22060475
June 2009,1314.33024994
May 2009,1955.96297035
April 2009,791.09383327
March 2009,1286.343508
February 2009,848.52209817
January 2009,1163.36915317
December 2008,2725.99706983
November 2008,2456.85151382
October 2008,2916.87362838
September 2008,2892.39976381
August 2008,2733.83274186
July 2008,2677.44395155
June 2008,2701.39590269
May 2008,2495.95025527
April 2008,3011.33273604
March 2008,3164.99451603
February 2008,3132.39761484
January 2008,2297.58107519
December 2007,1646.15880372
November 2007,1685.51408327
October 2007,1538.74431329
September 2007,1380.11422217
August 2007,1144.40487897
July 2007,778.07107523
June 2007,507.68677774
May 2007,498.8687634
April 2007,753.72577774
March 2007,607.92993277
February 2007,567.54383926
January 2007,702.65810479
December 2006,1122.85732523
November 2006,843.35697582
October 2006,1044.82772295
September 2006,1102.53736661
August 2006,1257.2492876
July 2006,1142.25627682
June 2006,847.48412496
May 2006,887.9917607
April 2006,483.54456939
March 2006,939.25385749
February 2006,1278.85746721
January 2006,1068.13926069
December 2005,1166.72781712
November 2005,1401.3684694
October 2005,1160.18058741
September 2005,1147.99614854
August 2005,1146.53598112
July 2005,1027.76346768
June 2005,962.90352214
May 2005,1015.39853488
April 2005,975.12220826
March 2005,1050.39123649
February 2005,608.86379458
January 2005,741.82086017
December 2004,782.61938169
November 2004,798.2037753
October 2004,1273.72709672
September 2004,1413.37463188
August 2004,1115.97858864
July 2004,946.28280209
June 2004,905.70847772
May 2004,816.47052414
April 2004,1205.16651382
March 2004,1072.08082039
February 2004,1069.92594821
January 2004,1025.12661287
December 2003,1141.83275533
November 2003,1251.02815271
October 2003,932.17576783
September 2003,625.80394439
August 2003,843.99434135
July 2003,929.44973112
June 2003,858.68586385
May 2003,559.58656312
April 2003,583.52086107
March 2003,504.98177416
February 2003,681.26053569
January 2003,876.83100802
December 2002,723.96231175
November 2002,835.64762676
October 2002,1071.40939509
September 2002,1025.63434717
August 2002,1156.80962466
July 2002,1159.36263168
June 2002,1141.70511106
May 2002,1095.78057791
April 2002,1065.98698606
March 2002,1199.43315854
