MAX MIN 1 GE Simp 4,MIN MAX 1 GE Simp 4,Month of Data Escala de Tempo 1 GE Simp 4,Data Escala de Tempo 1 GE Simp 4,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
3/6/2019 12:00:00 AM,2/24/2019 12:00:00 AM,March 2019,3/1/2019 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,3,59255234
2/6/2019 12:00:00 AM,1/27/2019 12:00:00 AM,February 2019,2/1/2019 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,5,58182647
1/6/2019 12:00:00 AM,12/27/2018 12:00:00 AM,January 2019,1/1/2019 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,13,49629646
12/6/2018 12:00:00 AM,11/26/2018 12:00:00 AM,December 2018,12/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,6,51766132
11/6/2018 12:00:00 AM,10/27/2018 12:00:00 AM,November 2018,11/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,9,26106676
10/6/2018 12:00:00 AM,9/26/2018 12:00:00 AM,October 2018,10/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,9,64055113
9/6/2018 12:00:00 AM,8/27/2018 12:00:00 AM,September 2018,9/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,7,35609876
8/6/2018 12:00:00 AM,7/27/2018 12:00:00 AM,August 2018,8/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,4,98691526
7/6/2018 12:00:00 AM,6/26/2018 12:00:00 AM,July 2018,7/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,4,7155607
6/6/2018 12:00:00 AM,5/27/2018 12:00:00 AM,June 2018,6/1/2018 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,4,24222721
