CodUsina,Posto,VolMin
1,1,120
2,2,11
4,211,304
6,6,5733
7,7,1540
8,8,1423
9,9,450
10,10,480
11,11,2244
12,12,1524
14,14,51
15,15,14
16,16,25
17,17,890
18,18,5856
20,22,430.05
21,251,1752
22,20,2186
24,24,4669
25,25,2412
26,206,974
27,207,228.27
28,28,878
29,205,2936.6
30,209,470
31,31,4573
32,32,460
33,33,7000
34,34,8232
37,237,569
38,238,544
39,239,985
40,240,5280
42,242,2720
43,243,9923
44,244,25467
45,245,3354
46,246,14400
47,47,3843
48,48,84
49,49,5754
50,50,45
51,51,151
52,52,212
54,54,115.71
55,55,51.48
57,57,1473
58,58,1617
61,61,4816
62,62,677
63,63,1918
66,266,27695.19
71,71,169
72,72,35
73,73,85
74,74,1974
75,65,186.08
76,76,2562
77,77,2662
78,78,1124
80,80,82.29
81,83,76.21
82,222,3573
83,81,178.7
85,85,1044
86,215,2711.79
88,88,336.72
89,89,232
90,216,1320
91,217,2283
92,92,5100
93,93,185
94,220,150.48
95,286,111
97,98,87
98,97,10.1
99,284,49.31
101,102,186.33
102,103,102.4
103,94,1427.5
105,160,2
107,161,0.1
108,104,0.1
109,109,0.1
110,110,21
111,111,289
112,112,29
113,113,620
114,114,330
115,115,23
117,117,0.77
118,118,0.98
119,116,1
120,120,443
121,121,2096
122,122,131
123,123,283
124,202,0.01
125,125,6
126,197,6
127,198,1
128,129,0
129,300,126.5
130,130,8
131,300,38
132,202,445.35
133,202,17
134,134,78
135,263,56
138,267,147
139,149,54.44
141,141,31.42
143,148,156.55
144,144,21.68
148,255,2267.94
149,258,339
153,154,116.45
154,188,1634
155,155,200.72
156,156,4250
162,158,95.25
169,169,5447
172,172,7234
173,173,1226
174,175,26
175,300,121
176,176,1226
178,178,3800
180,201,2
181,203,12
182,300,38
183,202,467
184,300,38
185,135,33
186,199,412.76
189,254,2192
190,190,3173
192,262,12
193,183,1
194,265,16.76
195,295,16.17
196,296,21
203,23,709
204,204,230.56
215,101,0.12
216,100,21
217,196,11
225,225,2.08
227,227,1012.4
228,228,1525
229,229,897.22
230,230,577.22
241,241,264.48
249,249,20.82
251,270,11150
252,191,2300
253,253,952
257,257,2212.7
261,273,4940
262,294,826.06
267,271,5400
268,274,4130
269,187,70.99
272,277,133
273,276,1850
275,275,11293
276,145,192.17
277,269,9711.9
278,278,4386
279,279,943.23
280,280,24.57
281,281,199
282,282,480
283,283,146
284,297,137.31
285,285,1249.83
286,290,104.61
287,287,2077.3
288,300,4802.3
289,289,319
290,99,71
291,270,11150
292,191,2300
294,158,95.25
295,156,4250
298,255,2267.94
299,187,70.99
301,58,1617
302,273,4940
303,257,2212.7
304,259,5
305,252,1
306,253,952
307,258,339
308,155,200.72
310,291,0.12
311,247,195.76
312,248,300
313,313,1793.9
314,288,4802.3
315,261,95.33
317,55,51.48
318,54,115.71
319,57,1473
