RES   USINAS PERTENCENTES AO CONJUNTO
XXX   XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX
  2   139
  4   172
  5   176
  6   178
  7   156
999
RES MM/AAAA MM/AAAA P       RESTRICAO
XXX XX XXXX XX XXXX X XXXXXXXXXXXXXXX
  2 12 2019 12 2022 0    0.00         CANDONGA
  4 12 2019 12 2019 0  358.32         ITAPARICA
  4 01 2020 01 2020 0  313.53         ITAPARICA
  5 12 2019 12 2019 0  816.08         COMP PAF-MOX
  5 01 2020 01 2020 0  714.07         COMP PAF-MOX
  6 12 2019 12 2019 0  867.68         XINGO
  6 01 2020 01 2020 0  759.22         XINGO
  7 12 2019 12 2019 0   64.52         TRES MARIAS
  7 01 2020 01 2020 0   43.01         TRES MARIAS
  7 05 2020 05 2020 0   47.31         TRES MARIAS
  7 06 2020 06 2020 0   91.18         TRES MARIAS
  7 07 2020 07 2020 0  104.51         TRES MARIAS
  7 08 2020 08 2020 0  114.41         TRES MARIAS
  7 09 2020 09 2020 0  113.98         TRES MARIAS
  7 10 2020 10 2020 0  123.87         TRES MARIAS
  7 11 2020 11 2020 0   128.6         TRES MARIAS
999
