 NUM  NOME CLASSE  TIPO COMB.  CUSTO   CUSTO   CUSTO   CUSTO   CUSTO   
 XXXX XXXXXXXXXXXX XXXXXXXXXX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX
    1 ANGRA 1      Nuclear      31.17   31.17   31.17   31.17   31.17                                                                                                                                                     
   13 ANGRA 2      Nuclear      20.12   20.12   20.12   20.12   20.12                                                                                                                                                     
  211 BAIXADA FLU  Gas          88.74   88.74   88.74   88.74   88.74                                                                                                                                                     
    7 CARIOBA      Oleo        937.00  937.00  937.00  937.00  937.00                                                                                                                                                     
   97 CCBS         Gas         314.47  314.47  314.47  314.47  314.47                                                                                                                                                     
  219 CCBS_L1      Gas         314.47  314.47  314.47  314.47  314.47                                                                                                                                                     
  220 CCBS_L13     Gas         300.87  300.87  300.87  300.87  300.87                                                                                                                                                     
   12 CUIABA G CC  Gas         511.77  511.77  511.77  511.77  511.77                                                                                                                                                     
  153 DAIA         Diesel      884.58  884.58  884.58  884.58  884.58                                                                                                                                                     
   65 DO ATLAN_CSA Residuos I    0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  183 DO ATLANTICO Residuos I  181.06  181.06  181.06  181.06  181.06                                                                                                                                                     
  213 EBOLT_L1     Gas         283.75  283.75  283.75  283.75  283.75                                                                                                                                                     
  214 EBOLT_L13    Gas         308.11  308.11  308.11  308.11  308.11                                                                                                                                                     
   62 ELETROBOLT   Gas         283.75  283.75  283.75  283.75  283.75                                                                                                                                                     
  110 F.GASPARIAN  Gas         548.04  548.04  548.04  548.04  548.04                                                                                                                                                     
  155 GOIANIA II   Diesel      921.81  921.81  921.81  921.81  921.81                                                                                                                                                     
   63 IBIRITERMO   Gas         346.37  346.37  346.37  346.37  346.37                                                                                                                                                     
    2 IGARAPE      Oleo        939.55  939.55  939.55  939.55  939.55                                                                                                                                                     
   54 JUIZ DE FORA Gas         283.74  283.74  283.74  283.74  283.74                                                                                                                                                     
   15 LINHARES     GNL         213.76  213.76  213.76  213.76  213.76                                                                                                                                                     
  171 NORTEFLU-1   Gas          59.33   59.33   59.33   59.33   59.33                                                                                                                                                     
  172 NORTEFLU-2   Gas          69.02   69.02   69.02   69.02   69.02                                                                                                                                                     
  173 NORTEFLU-3   Gas         130.24  130.24  130.24  130.24  130.24                                                                                                                                                     
  174 NORTEFLU-4   Gas         428.17  428.17  428.17  428.17  428.17                                                                                                                                                     
  137 NOVO TEMPO   Gas         236.56  236.56  236.56  236.56  236.56                                                                                                                                                     
  229 ONCA PINTADA Biomassa     91.45   91.45   91.45   91.45   91.45                                                                                                                                                     
  182 PALMEIRAS GO Diesel     1063.92 1063.92 1063.92 1063.92 1063.92                                                                                                                                                     
   50 PIRAT.12 G   Gas         470.34  470.34  470.34  470.34  470.34                                                                                                                                                     
  230 PREDILECTA   Biomassa    128.71  128.71  128.71  128.71  128.71                                                                                                                                                     
    9 R.SILVEIRA   Gas         978.10  978.10  978.10  978.10  978.10                                                                                                                                                     
    4 ST.CRUZ 34   Oleo        310.41  310.41  310.41  310.41  310.41                                                                                                                                                     
   86 ST.CRUZ NOVA GNL         142.61  142.61  142.61  142.61  142.61                                                                                                                                                     
  146 STA VITORIA  Biomassa     90.00   90.00   90.00   90.00   90.00                                                                                                                                                     
  217 T LAGOAS_L1  Gas         187.78  187.78  187.78  187.78  187.78                                                                                                                                                     
  218 T LAGOAS_L13 Gas         302.70  302.70  302.70  302.70  302.70                                                                                                                                                     
  194 T.NORTE 2    Oleo        910.86  910.86  910.86  910.86  910.86                                                                                                                                                     
  223 TERMOIRAPE I Biomassa    127.01  127.01  127.01  127.01  127.01                                                                                                                                                     
   90 TERMOMACAE   Gas         513.76  513.76  513.76  513.76  513.76                                                                                                                                                     
   47 TERMORIO     Gas         223.78  223.78  223.78  223.78  223.78                                                                                                                                                     
  215 TERMORIO_L1  Gas         223.78  223.78  223.78  223.78  223.78                                                                                                                                                     
  216 TERMORIO_L13 Gas         306.29  306.29  306.29  306.29  306.29                                                                                                                                                     
   68 TRES LAGOAS  Gas         187.78  187.78  187.78  187.78  187.78                                                                                                                                                     
  236 VALE AZUL II Gas          85.01   85.01   85.01   85.01   85.01                                                                                                                                                     
   49 VIANA        Oleo        632.44  632.44  632.44  632.44  632.44                                                                                                                                                     
  108 XAVANTES     Diesel     1269.94 1269.94 1269.94 1269.94 1269.94                                                                                                                                                     
   48 ARAUCARIA    Gas         758.44  758.44  758.44  758.44  758.44                                                                                                                                                     
   37 ARGENTINA 1  CONTRATO     43.02   43.02   43.02   43.02   43.02                                                                                                                                                     
   71 ARGENTINA 1B CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   38 ARGENTINA 2A CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   39 ARGENTINA 2B CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   40 ARGENTINA 2C CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   59 ARGENTINA 2D CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
  237 CAMBARA      Biomassa    162.00  162.00  162.00  162.00  162.00                                                                                                                                                     
  156 CANDIOTA 3   Carvao       81.49   81.49   81.49   81.49   81.49                                                                                                                                                     
   64 CANOAS       Diesel      698.14  698.14  698.14  698.14  698.14                                                                                                                                                     
  169 CISFRAMA     Biomassa    291.83  291.83  291.83  291.83  291.83                                                                                                                                                     
   28 FIGUEIRA     Carvao      475.68  475.68  475.68  475.68  475.68                                                                                                                                                     
   26 J.LACERDA A1 Carvao      242.18  242.18  242.18  242.18  242.18                                                                                                                                                     
   27 J.LACERDA A2 Carvao      223.65  223.65  223.65  223.65  223.65                                                                                                                                                     
   25 J.LACERDA B  Carvao      217.06  217.06  217.06  217.06  217.06                                                                                                                                                     
   24 J.LACERDA C  Carvao      183.43  183.43  183.43  183.43  183.43                                                                                                                                                     
   30 NUTEPA       Oleo        780.00  780.00  780.00  780.00  780.00                                                                                                                                                     
   22 P.MEDICI A   Carvao      115.90  115.90  115.90  115.90  115.90                                                                                                                                                     
   23 P.MEDICI B   Carvao      115.90  115.90  115.90  115.90  115.90                                                                                                                                                     
  107 PAMPA SUL    Carvao       53.07   53.07   53.07   53.07   53.07                                                                                                                                                     
   32 S.JERONIMO   Carvao      248.31  248.31  248.31  248.31  248.31                                                                                                                                                     
  149 SAO SEPE     Biomassa     73.47   73.47   73.47   73.47   73.47                                                                                                                                                     
   35 URUGUAIANA   Gas         486.20  486.20  486.20  486.20  486.20                                                                                                                                                     
  109 ALTOS        Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  111 ARACATI      Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  112 BAHIA I      Oleo        991.75  991.75  991.75  991.75  991.75                                                                                                                                                     
  113 BATURITE     Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  235 CAMACARI MII Diesel     1635.89 1635.89 1635.89 1635.89 1635.89                                                                                                                                                     
  166 CAMACARI PI  Oleo       1112.56 1112.56 1112.56 1112.56 1112.56                                                                                                                                                     
   52 CAMPINA GDE  Oleo        632.45  632.45  632.45  632.45  632.45                                                                                                                                                     
  117 CAMPO MAIOR  Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  119 CAUCAIA      Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  121 CRATO        Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  125 ENGUIA PECEM Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  106 ERB CANDEIAS Biomassa     60.00   60.00   60.00   60.00   60.00                                                                                                                                                     
   74 FAFEN        Gas         345.02  345.02  345.02  345.02  345.02                                                                                                                                                     
   42 FORTALEZA    Gas         164.36  164.36  164.36  164.36  164.36                                                                                                                                                     
   53 GLOBAL I     Oleo        717.56  717.56  717.56  717.56  717.56                                                                                                                                                     
   55 GLOBAL II    Oleo        717.56  717.56  717.56  717.56  717.56                                                                                                                                                     
  127 IGUATU       Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  133 JUAZEIRO N   Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
   57 MARACANAU I  Oleo        611.28  611.28  611.28  611.28  611.28                                                                                                                                                     
  135 MARAMBAIA    Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  164 MURICY       Oleo       1112.56 1112.56 1112.56 1112.56 1112.56                                                                                                                                                     
  138 NAZARIA      Diesel      764.27  764.27  764.27  764.27  764.27                                                                                                                                                     
  167 P. PECEM I   Carvao      204.06  204.06  204.06  204.06  204.06                                                                                                                                                     
  163 P. PECEM II  Carvao      212.01  212.01  212.01  212.01  212.01                                                                                                                                                     
  224 P. SERGIPE I Gas         205.74  205.74  205.74  205.74  205.74                                                                                                                                                     
  160 PAU FERRO I  Diesel     1553.06 1553.06 1553.06 1553.06 1553.06                                                                                                                                                     
  162 PECEM II     Diesel     1652.89 1652.89 1652.89 1652.89 1652.89                                                                                                                                                     
   98 PERNAMBU_III Oleo        538.96  538.96  538.96  538.96  538.96                                                                                                                                                     
  144 PETROLINA    Oleo       1220.64 1220.64 1220.64 1220.64 1220.64                                                                                                                                                     
  151 POTIGUAR     Diesel     1361.20 1361.20 1361.20 1361.20 1361.20                                                                                                                                                     
  161 POTIGUAR III Diesel     1361.19 1361.19 1361.19 1361.19 1361.19                                                                                                                                                     
  147 PROSPERIDADE Gas         155.43  155.43  155.43  155.43  155.43                                                                                                                                                     
  170 SUAPE II     Oleo        637.24  637.24  637.24  637.24  637.24                                                                                                                                                     
  221 SYKUE I      Biomassa    510.12  510.12  510.12  510.12  510.12                                                                                                                                                     
   43 TERMOBAHIA   Gas         374.87  374.87  374.87  374.87  374.87                                                                                                                                                     
  152 TERMOCABO    Oleo        624.85  624.85  624.85  624.85  624.85                                                                                                                                                     
   58 TERMOCEARA   Gas         322.58  322.58  322.58  322.58  322.58                                                                                                                                                     
  159 TERMOMANAUS  Diesel     1553.06 1553.06 1553.06 1553.06 1553.06                                                                                                                                                     
   67 TERMONE      Oleo        629.84  629.84  629.84  629.84  629.84                                                                                                                                                     
   69 TERMOPB      Oleo        629.84  629.84  629.84  629.84  629.84                                                                                                                                                     
   96 TERMOPE      Gas         112.91  112.91  112.91  112.91  112.91                                                                                                                                                     
   83 VALE DO ACU  Gas         450.86  450.86  450.86  450.86  450.86                                                                                                                                                     
  201 APARECIDA    Gas         302.19  302.19  302.19  302.19  302.19                                                                                                                                                     
  203 C. ROCHA     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  318 FLORES LT1   Diesel      868.35  868.35  868.35  868.35  868.35                                                                                                                                                     
  319 FLORES LT2   Diesel      883.17  883.17  883.17  883.17  883.17                                                                                                                                                     
   73 GERAMAR I    Oleo        632.42  632.42  632.42  632.42  632.42                                                                                                                                                     
   70 GERAMAR II   Oleo        632.42  632.42  632.42  632.42  632.42                                                                                                                                                     
  317 IRANDUBA     Oleo        856.49  856.49  856.49  856.49  856.49                                                                                                                                                     
  204 JARAQUI      Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  205 MANAUARA     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
