 NUM  POSTO         JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXX    XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX
 MESPLAN =          07  ANOPLAN=         2019
    1 CAMARGOS        241.00    195.00    156.00    104.00     79.00     65.00     33.00     39.00     40.00     56.00    105.00    224.00
    2 ITUTINGA        241.00    195.00    156.00    104.00     79.00     65.00     33.00     39.00     40.00     56.00    105.00    224.00
    6 FURNAS         1696.00   1404.00   1125.00    753.00    558.00    453.00    172.00    225.00    194.00    442.00    832.00   1524.00
    7 M. DE MORAE    1891.00   1580.00   1268.00    850.00    628.00    506.00    209.00    261.00    232.00    491.00    968.00   1681.00
    8 ESTREITO       1933.00   1624.00   1303.00    877.00    646.00    520.00    217.00    269.00    241.00    501.00    995.00   1708.00
    9 JAGUARA        1948.00   1642.00   1319.00    889.00    653.00    526.00    221.00    272.00    244.00    503.00   1004.00   1716.00
   10 IGARAPAVA      1996.00   1694.00   1362.00    923.00    675.00    541.00    232.00    282.00    254.00    514.00   1034.00   1746.00
   11 VOLTA GRAND    2105.00   1805.00   1452.00    992.00    721.00    577.00    254.00    304.00    277.00    543.00   1113.00   1827.00
   12 P. COLOMBIA    2376.00   2062.00   1665.00   1146.00    829.00    659.00    309.00    354.00    323.00    604.00   1257.00   2042.00
   14 CACONDE          93.00     85.00     67.00     45.00     33.00     27.00     15.00     19.00     17.00     32.00     41.00     87.00
   15 E. DA CUNHA     153.00    140.00    110.00     73.00     54.00     44.00     25.00     31.00     27.00     53.00     67.00    141.00
   16 A.S.OLIVEIR     155.00    142.00    111.00     74.00     55.00     45.00     25.00     31.00     28.00     54.00     68.00    143.00
   17 MARIMBONDO     3165.00   2885.00   2333.00   1643.00   1195.00    970.00    524.00    579.00    515.00    934.00   1706.00   2750.00
   18 A. VERMELHA    3531.00   3270.00   2659.00   1886.00   1365.00   1113.00    668.00    734.00    671.00   1118.00   1988.00   3041.00
   20 BOCAINA         316.00    283.00    230.00    162.00    104.00     77.00     39.00     35.00     31.00     43.00    216.00    290.00
   22 BATALHA         184.00    167.00    152.00    113.00     73.00     54.00     26.00     26.00     22.00     33.00    161.00    178.00
   23 CORUMBA III     260.00    254.00    231.00    178.00    112.00     80.00     45.00     39.00     32.00     62.00    153.00    246.00
   24 EMBORCACAO      862.00    764.00    659.00    470.00    303.00    225.00    110.00     98.00     87.00    122.00    614.00    807.00
   25 NOVA PONTE      505.00    453.00    384.00    281.00    196.00    147.00     88.00     76.00     72.00    126.00    395.00    463.00
   28 CAPIM BRANC     613.00    555.00    471.00    351.00    243.00    185.00     94.00     81.00     77.00    133.00    407.00    562.00
   31 ITUMBIARA      2616.00   2411.00   2120.00   1550.00   1014.00    757.00    428.00    367.00    341.00    548.00   1898.00   2425.00
   32 CACH.DOURAD    2738.00   2532.00   2227.00   1631.00   1070.00    799.00    462.00    395.00    365.00    579.00   1974.00   2538.00
   33 SAO SIMAO      3927.00   3650.00   3265.00   2436.00   1613.00   1219.00    928.00    787.00    720.00   1071.00   3134.00   3673.00
   34 I.SOLTEIRA     8583.00   8041.00   6944.00   5106.00   3552.00   2814.00   1989.00   1880.00   1861.00   2806.00   6290.00   7763.00
   37 BARRA BONIT     685.00    637.00    487.00    310.00    250.00    243.00    114.00    195.00    158.00    298.00    405.00    595.00
   38 A.S.LIMA        765.00    716.00    549.00    353.00    284.00    277.00    145.00    237.00    192.00    352.00    446.00    663.00
   39 IBITINGA        908.00    848.00    655.00    435.00    352.00    340.00    204.00    316.00    260.00    456.00    532.00    799.00
   40 PROMISSAO      1093.00   1025.00    801.00    527.00    428.00    412.00    261.00    379.00    338.00    574.00    643.00    961.00
   42 NAVANHANDAV    1176.00   1106.00    861.00    565.00    455.00    439.00    283.00    403.00    368.00    618.00    681.00   1027.00
   43 T.IRMAOS       1232.00   1181.00    930.00    620.00    488.00    474.00    294.00    406.00    380.00    630.00    654.00   1074.00
   44 I.SOLT. EQV    9814.00   9223.00   7874.00   5725.00   4042.00   3288.00   2283.00   2286.00   2242.00   3436.00   6944.00   8837.00
   45 JUPIA         10220.00   9623.00   8209.00   6004.00   4286.00   3516.00   2727.00   2607.00   2608.00   3838.00   7342.00   9256.00
   46 P.PRIMAVERA   11071.00  10597.00   9070.00   6794.00   4975.00   4182.00   3496.00   3363.00   3562.00   4946.00   7824.00  10091.00
   47 A.A.LAYDNER     225.00    221.00    208.00    224.00    192.00    196.00    114.00    151.00    130.00    174.00    145.00    199.00
   48 PIRAJU          230.00    225.00    213.00    230.00    197.00    201.00    116.00    154.00    134.00    178.00    148.00    204.00
   49 CHAVANTES       348.00    327.00    302.00    334.00    301.00    307.00    172.00    223.00    210.00    282.00    218.00    302.00
   50 L.N. GARCEZ     452.00    430.00    405.00    458.00    408.00    415.00    260.00    345.00    308.00    417.00    318.00    400.00
   51 CANOAS II       459.00    437.00    413.00    468.00    416.00    424.00    266.00    353.00    315.00    427.00    326.00    407.00
   52 CANOAS I        475.00    454.00    429.00    487.00    433.00    441.00    280.00    373.00    331.00    449.00    341.00    423.00
   54 STA BRANCA      127.00    126.00    126.00    112.00    102.00    118.00     49.00     38.00     48.00    175.00    115.00    133.00
   55 TIBAGI MONT     149.00    149.00    148.00    132.00    120.00    137.00     57.00     49.00     51.00    191.00    128.00    155.00
   57 MAUA            247.00    246.00    240.00    214.00    192.00    218.00     93.00     81.00     84.00    302.00    204.00    248.00
   58 SAO JERONIM     303.00    300.00    289.00    262.00    226.00    249.00    143.00    185.00    184.00    480.00    346.00    298.00
   61 CAPIVARA       1036.00    947.00    864.00   1010.00    986.00   1060.00    554.00    728.00    684.00   1368.00   1003.00    948.00
   62 TAQUARUCU      1085.00    994.00    911.00   1065.00   1039.00   1117.00    606.00    786.00    742.00   1440.00   1079.00    996.00
   63 ROSANA         1199.00   1101.00   1022.00   1199.00   1163.00   1257.00    727.00    924.00    877.00   1618.00   1254.00   1117.00
   65 S GDE CHOPI     157.00    109.00    106.00    104.00     97.00     85.00     43.00     28.00    107.00    216.00    119.00    142.00
   66 ITAIPU        14838.00  14212.00  12784.00  11040.00   9177.00   8567.00   6019.00   6217.00   6646.00  10862.00  12441.00  13727.00
   70 JORDAO           17.00     16.00     13.00     23.00     33.00     38.00     10.00     10.00     10.00     48.00     10.00     18.00
   71 STA CLARA P      75.00     75.00     76.00     89.00     87.00     99.00     60.00     36.00     77.00    160.00     85.00     89.00
   72 FUNDAO           79.00     78.00     80.00     93.00     91.00    104.00     63.00     38.00     81.00    172.00     93.00     93.00
