;CodUsina;Posto;Posto BDH;Evap,Men,(1);Evap,Men,(2);Evap,Men,(3);Evap,Men,(4);Evap,Men,(5);Evap,Men,(6);Evap,Men,(7);Evap,Men,(8);Evap,Men,(9);Evap,Men,(10);Evap,Men,(11);Evap,Men,(12);Num,Conj,Máq,;Num,Pols,Jus,;Tipo Perdas(1=%/2=M/3=K);Vazão Mín,Hist,(m3/s);Num,Unid,Base;Rep,Conj(0=aprox/1=det/2=simp);#Maq(1);QEf(1);#Maq(2);QEf(2);#Maq(3);QEf(3);#Maq(4);QEf(4);#Maq(5);QEf(5);Unnamed: 180;PLD
CodUsina;1;0,027530031;;0,978257022;-0,301816364;-0,807692308;-0,493345136;0,107958379;0,530363911;0,908918462;0,958001059;0,979008691;-0,066489597;0,428187107;0,963321739;0,526449733;;0;0,971952132;0,897609558;;0,452910814;0,462157711;0,784464541;0,726360474;0,566138517;0,48416375;0,657793514;0,657793514;;;;
Posto;0,027530031;1;;-0,030738995;0,737009521;0,416127003;0,673657615;-0,489207248;0,057777985;-0,252459689;-0,136779976;0,094577507;0,793870782;0,434741595;-0,104755094;-0,499807572;;0,999620977;-0,159180873;-0,202631993;;0,012468649;0,518740116;-0,537208781;-0,473752035;-0,307040472;-0,346788807;-0,231796169;-0,231796169;;;;
Posto BDH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evap,Men,(1);0,978257022;-0,030738995;;1;-0,357359124;-0,758992517;-0,418269231;0,265120134;0,674481886;0,946644394;0,9908831;0,99134748;-0,049567949;0,548295606;0,993662999;0,441938662;;-0,057692308;0,972769918;0,822244801;;0,620670408;0,554052072;0,817024838;0,827321331;0,422055877;0,34150407;0,519230769;0,519230769;;;;
Evap,Men,(2);-0,301816364;0,737009521;;-0,357359124;1;0,704238182;0,673908718;-0,790695493;-0,376551517;-0,636829294;-0,47813408;-0,240563192;0,886990057;0,23147223;-0,457398652;-0,236066843;;0,745601135;-0,515086547;-0,495670914;;-0,222130829;-0,007530761;-0,512989176;-0,524835168;-0,296174439;-0,214638158;-0,401477534;-0,401477534;;;;
Evap,Men,(3);-0,807692308;0,416127003;;-0,758992517;0,704238182;1;0,877058019;-0,269895948;-0,265181956;-0,860226402;-0,803839969;-0,697172856;0,63165117;0,114183228;-0,795787524;-0,676863942;;0,43852901;-0,886935043;-0,964099154;;-0,113227703;-0,050003949;-0,784464541;-0,628643818;-0,792593924;-0,707382102;-0,877058019;-0,877058019;;;;
Evap,Men,(4);-0,493345136;0,673657615;;-0,418269231;0,673908718;0,877058019;1;-0,107705055;0,151176974;-0,555174908;-0,477091863;-0,334026858;0,796002946;0,50448203;-0,459638014;-0,836055603;;0,6875;-0,592085772;-0,796002946;;0,242061459;0,430622985;-0,698771243;-0,44751342;-0,887558684;-0,8643417;-0,875;-0,875;;;;
Evap,Men,(5);0,107958379;-0,489207248;;0,265120134;-0,790695493;-0,269895948;-0,107705055;1;0,723076997;0,501140252;0,373991568;0,174872535;-0,485240176;0,232364634;0,358569271;-0,274430215;;-0,492365964;0,307646935;0,065320793;;0,635641726;0,407885884;0,275240941;0,512908511;-0,317820863;-0,396230219;-0,184637236;-0,184637236;;;;
Evap,Men,(6);0,530363911;0,057777985;;0,674481886;-0,376551517;-0,265181956;0,151176974;0,723076997;1;0,703410508;0,700645814;0,66038975;0,091685575;0,798509236;0,703375416;-0,281489204;;0,043193421;0,591149;0,235762907;;0,947961941;0,881162466;0,386333705;0,66282203;-0,334574803;-0,431671722;-0,172773685;-0,172773685;;;;
Evap,Men,(7);0,908918462;-0,252459689;;0,946644394;-0,636829294;-0,860226402;-0,555174908;0,501140252;0,703410508;1;0,980481578;0,901395426;-0,336701609;0,385480622;0,976531043;0,412584082;;-0,277587454;0,977406646;0,841754023;;0,597273103;0,488533071;0,827605889;0,848091578;0,430036634;0,330355196;0,555174908;0,555174908;;;;
Evap,Men,(8);0,958001059;-0,136779976;;0,9908831;-0,47813408;-0,803839969;-0,477091863;0,373991568;0,700645814;0,980481578;1;0,965724294;-0,165612471;0,496896561;0,999468736;0,439247321;;-0,163215637;0,984401561;0,831869538;;0,632131445;0,53090999;0,842218292;0,86092084;0,421420963;0,335017893;0,527312059;0,527312059;;;;
Evap,Men,(9);0,979008691;0,094577507;;0,99134748;-0,240563192;-0,697172856;-0,334026858;0,174872535;0,66038975;0,901395426;0,965724294;1;0,066671927;0,601105815;0,972424688;0,400270806;;0,067651009;0,944487436;0,792370209;;0,611359541;0,598770886;0,756361276;0,768048658;0,393016848;0,313314157;0,490469816;0,490469816;;;;
Evap,Men,(10);-0,066489597;0,793870782;;-0,049567949;0,886990057;0,63165117;0,796002946;-0,485240176;0,091685575;-0,336701609;-0,165612471;0,066671927;1;0,651393327;-0,143000538;-0,377036951;;0,796002946;-0,263754353;-0,425287356;;0,244675091;0,414403954;-0,339031752;-0,212283255;-0,489350183;-0,444038527;-0,530668631;-0,530668631;;;;
Evap,Men,(11);0,428187107;0,434741595;;0,548295606;0,23147223;0,114183228;0,50448203;0,232364634;0,798509236;0,385480622;0,496896561;0,601105815;0,651393327;1;0,509803776;-0,301417389;;0,423113961;0,354036088;-0,009869596;;0,882384097;0,85718583;0,218333441;0,480595163;-0,462201194;-0,49397854;-0,390566733;-0,390566733;;;;
Evap,Men,(12);0,963321739;-0,104755094;;0,993662999;-0,457398652;-0,795787524;-0,459638014;0,358569271;0,703375416;0,976531043;0,999468736;0,972424688;-0,143000538;0,509803776;1;0,425871999;;-0,131325147;0,983863596;0,83085123;;0,631921951;0,548489417;0,827564602;0,847206851;0,416143724;0,327728188;0,525300587;0,525300587;;;;
Num,Conj,Máq,;0,526449733;-0,499807572;;0,441938662;-0,236066843;-0,676863942;-0,836055603;-0,274430215;-0,281489204;0,412584082;0,439247321;0,400270806;-0,377036951;-0,301417389;0,425871999;1;;-0,514495755;0,52028977;0,702068806;;-0,221403721;-0,493032903;0,766964989;0,48660091;0,885614886;0,930742708;0,771743633;0,771743633;;;;
Num,Pols,Jus,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo Perdas(1=%/2=M/3=K);0;0,999620977;;-0,057692308;0,745601135;0,43852901;0,6875;-0,492365964;0,043193421;-0,277587454;-0,163215637;0,067651009;0,796002946;0,423113961;-0,131325147;-0,514495755;;1;-0,186009247;-0,227429413;;0;0,506208765;-0,559016994;-0,493935974;-0,322748612;-0,360254395;-0,25;-0,25;;;;
Vazão Mín,Hist,(m3/s);0,971952132;-0,159180873;;0,972769918;-0,515086547;-0,886935043;-0,592085772;0,307646935;0,591149;0,977406646;0,984401561;0,944487436;-0,263754353;0,354036088;0,983863596;0,52028977;;-0,186009247;1;0,915195829;;0,49042044;0,433306654;0,8377168;0,799072986;0,558064639;0,465782938;0,665441531;0,665441531;;;;
Num,Unid,Base;0,897609558;-0,202631993;;0,822244801;-0,495670914;-0,964099154;-0,796002946;0,065320793;0,235762907;0,841754023;0,831869538;0,792370209;-0,425287356;-0,009869596;0,83085123;0,702068806;;-0,227429413;0,915195829;1;;0,097870037;0,118663079;0,762821442;0,583919723;0,831895311;0,749756608;0,909717652;0,909717652;;;;
Rep,Conj(0=aprox/1=det/2=simp);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Maq(1);0,452910814;0,012468649;;0,620670408;-0,222130829;-0,113227703;0,242061459;0,635641726;0,947961941;0,597273103;0,632131445;0,611359541;0,244675091;0,882384097;0,631921951;-0,221403721;;0;0,49042044;0,097870037;;1;0,796259508;0,433012702;0,723969614;-0,416666667;-0,465086424;-0,322748612;-0,322748612;;;;
QEf(1);0,462157711;0,518740116;;0,554052072;-0,007530761;-0,050003949;0,430622985;0,407885884;0,881162466;0,488533071;0,53090999;0,598770886;0,414403954;0,85718583;0,548489417;-0,493032903;;0,506208765;0,433306654;0,118663079;;0,796259508;1;0,05794798;0,321556622;-0,421549151;-0,531079641;-0,23669147;-0,23669147;;;;
#Maq(2);0,784464541;-0,537208781;;0,817024838;-0,512989176;-0,784464541;-0,698771243;0,275240941;0,386333705;0,827605889;0,842218292;0,756361276;-0,339031752;0,218333441;0,827564602;0,766964989;;-0,559016994;0,8377168;0,762821442;;0,433012702;0,05794798;1;0,930083717;0,577350269;0,569097367;0,559016994;0,559016994;;;;
QEf(2);0,726360474;-0,473752035;;0,827321331;-0,524835168;-0,628643818;-0,44751342;0,512908511;0,66282203;0,848091578;0,86092084;0,768048658;-0,212283255;0,480595163;0,847206851;0,48660091;;-0,493935974;0,799072986;0,583919723;;0,723969614;0,321556622;0,930083717;1;0,249314039;0,228230878;0,267393911;0,267393911;;;;
#Maq(3);0,566138517;-0,307040472;;0,422055877;-0,296174439;-0,792593924;-0,887558684;-0,317820863;-0,334574803;0,430036634;0,421420963;0,393016848;-0,489350183;-0,462201194;0,416143724;0,885614886;;-0,322748612;0,558064639;0,831895311;;-0,416666667;-0,421549151;0,577350269;0,249314039;1;0,985705554;0,968245837;0,968245837;;;;
QEf(3);0,48416375;-0,346788807;;0,34150407;-0,214638158;-0,707382102;-0,8643417;-0,396230219;-0,431671722;0,330355196;0,335017893;0,313314157;-0,444038527;-0,49397854;0,327728188;0,930742708;;-0,360254395;0,465782938;0,749756608;;-0,465086424;-0,531079641;0,569097367;0,228230878;0,985705554;1;0,912286004;0,912286004;;;;
#Maq(4);0,657793514;-0,231796169;;0,519230769;-0,401477534;-0,877058019;-0,875;-0,184637236;-0,172773685;0,555174908;0,527312059;0,490469816;-0,530668631;-0,390566733;0,525300587;0,771743633;;-0,25;0,665441531;0,909717652;;-0,322748612;-0,23669147;0,559016994;0,267393911;0,968245837;0,912286004;1;1;;;;
QEf(4);0,657793514;-0,231796169;;0,519230769;-0,401477534;-0,877058019;-0,875;-0,184637236;-0,172773685;0,555174908;0,527312059;0,490469816;-0,530668631;-0,390566733;0,525300587;0,771743633;;-0,25;0,665441531;0,909717652;;-0,322748612;-0,23669147;0,559016994;0,267393911;0,968245837;0,912286004;1;1;;;;
#Maq(5);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QEf(5);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unnamed: 180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
