 NUM  POSTO         JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXX    XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX
 MESPLAN =          10  ANOPLAN=         2019
    1 CAMARGOS        190.00    166.00    125.00     82.00     67.00     55.00     46.00     42.00     54.00     72.00     96.00    164.00
    2 ITUTINGA        190.00    166.00    125.00     82.00     67.00     55.00     46.00     42.00     54.00     72.00     96.00    164.00
    6 FURNAS         1340.00   1191.00    903.00    591.00    474.00    384.00    317.00    274.00    349.00    465.00    626.00   1115.00
    7 M. DE MORAE    1495.00   1341.00   1018.00    668.00    534.00    428.00    353.00    306.00    387.00    515.00    690.00   1229.00
    8 ESTREITO       1528.00   1378.00   1047.00    689.00    549.00    440.00    362.00    313.00    395.00    526.00    702.00   1249.00
    9 JAGUARA        1540.00   1393.00   1059.00    699.00    555.00    445.00    366.00    317.00    398.00    529.00    706.00   1255.00
   10 IGARAPAVA      1577.00   1437.00   1093.00    725.00    573.00    458.00    377.00    326.00    407.00    541.00    720.00   1277.00
   11 VOLTA GRAND    1664.00   1531.00   1166.00    779.00    613.00    488.00    400.00    345.00    429.00    570.00    755.00   1336.00
   12 P. COLOMBIA    1878.00   1749.00   1337.00    900.00    704.00    557.00    456.00    392.00    482.00    641.00    847.00   1493.00
   14 CACONDE          74.00     72.00     54.00     35.00     28.00     23.00     18.00     16.00     20.00     29.00     35.00     64.00
   15 E. DA CUNHA     121.00    118.00     88.00     57.00     46.00     37.00     31.00     27.00     34.00     46.00     56.00    103.00
   16 A.S.OLIVEIR     123.00    121.00     89.00     58.00     46.00     38.00     31.00     27.00     35.00     47.00     57.00    105.00
   17 MARIMBONDO     2501.00   2448.00   1873.00   1291.00   1015.00    821.00    674.00    590.00    713.00    924.00   1172.00   2011.00
   18 A. VERMELHA    2791.00   2775.00   2135.00   1482.00   1159.00    942.00    775.00    681.00    817.00   1061.00   1320.00   2224.00
   20 BOCAINA         250.00    240.00    185.00    127.00     88.00     65.00     51.00     43.00     46.00     63.00    105.00    212.00
   22 BATALHA         146.00    141.00    122.00     89.00     62.00     45.00     36.00     30.00     31.00     42.00     67.00    130.00
   23 CORUMBA III     206.00    216.00    186.00    140.00     95.00     68.00     53.00     44.00     47.00     70.00    108.00    180.00
   24 EMBORCACAO      681.00    648.00    529.00    369.00    257.00    190.00    154.00    130.00    140.00    188.00    305.00    591.00
   25 NOVA PONTE      400.00    384.00    308.00    221.00    166.00    125.00    104.00     89.00    100.00    138.00    195.00    339.00
   28 CAPIM BRANC     485.00    471.00    378.00    275.00    207.00    156.00    130.00    114.00    127.00    174.00    240.00    411.00
   31 ITUMBIARA      2067.00   2046.00   1703.00   1218.00    862.00    641.00    514.00    435.00    469.00    644.00    984.00   1774.00
   32 CACH.DOURAD    2164.00   2148.00   1788.00   1282.00    909.00    676.00    545.00    461.00    499.00    678.00   1031.00   1856.00
   33 SAO SIMAO      3104.00   3097.00   2622.00   1914.00   1371.00   1032.00    837.00    720.00    794.00   1062.00   1533.00   2686.00
   34 I.SOLTEIRA     6784.00   6823.00   5576.00   4012.00   3018.00   2381.00   1963.00   1734.00   2014.00   2629.00   3401.00   5678.00
