 NUM  NOME CLASSE  TIPO COMB.  CUSTO   CUSTO   CUSTO   CUSTO   CUSTO   
 XXXX XXXXXXXXXXXX XXXXXXXXXX XXXX.XX XXXX.XX XXXX.XX XXXX.XX XXXX.XX
    1 ANGRA 1      Nuclear      31.17   31.17   31.17   31.17   31.17                                                                                                                                                     
   13 ANGRA 2      Nuclear      20.12   20.12   20.12   20.12   20.12                                                                                                                                                     
  211 BAIXADA FLU  Gas          88.32   88.32   88.32   88.32   88.32                                                                                                                                                     
    7 CARIOBA      Oleo        937.00  937.00  937.00  937.00  937.00                                                                                                                                                     
   97 CCBS         Gas         313.38  313.38  313.38  313.38  313.38                                                                                                                                                     
  219 CCBS_L1      Gas         313.38  313.38  313.38  313.38  313.38                                                                                                                                                     
  220 CCBS_L13     Gas         300.71  300.71  300.71  300.71  300.71                                                                                                                                                     
   12 CUIABA G CC  Gas         511.77  511.77  511.77  511.77  511.77                                                                                                                                                     
  153 DAIA         Diesel      884.34  884.34  884.34  884.34  884.34                                                                                                                                                     
   65 DO ATLAN_CSA Residuos I    0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  183 DO ATLANTICO Residuos I  180.80  180.80  180.80  180.80  180.80                                                                                                                                                     
  213 EBOLT_L1     Gas         283.59  283.59  283.59  283.59  283.59                                                                                                                                                     
  214 EBOLT_L13    Gas         306.66  306.66  306.66  306.66  306.66                                                                                                                                                     
   62 ELETROBOLT   Gas         283.59  283.59  283.59  283.59  283.59                                                                                                                                                     
  110 F.GASPARIAN  Gas         548.04  548.04  548.04  548.04  548.04                                                                                                                                                     
  155 GOIANIA II   Diesel      921.61  921.61  921.61  921.61  921.61                                                                                                                                                     
   63 IBIRITERMO   Gas         346.37  346.37  346.37  346.37  346.37                                                                                                                                                     
    2 IGARAPE      Oleo        939.55  939.55  939.55  939.55  939.55                                                                                                                                                     
   54 JUIZ DE FORA Gas         283.74  283.74  283.74  283.74  283.74                                                                                                                                                     
   15 LINHARES     GNL         220.18  220.18  220.18  220.18  220.18                                                                                                                                                     
  171 NORTEFLU-1   Gas          71.40   71.40   71.40   71.40   71.40                                                                                                                                                     
  172 NORTEFLU-2   Gas          82.41   82.41   82.41   82.41   82.41                                                                                                                                                     
  173 NORTEFLU-3   Gas         157.73  157.73  157.73  157.73  157.73                                                                                                                                                     
  174 NORTEFLU-4   Gas         459.17  459.17  459.17  459.17  459.17                                                                                                                                                     
  137 NOVO TEMPO   Gas         236.29  236.29  236.29  236.29  236.29                                                                                                                                                     
  229 ONCA PINTADA Biomassa     90.94   90.94   90.94   90.94   90.94                                                                                                                                                     
  182 PALMEIRAS GO Diesel      662.97  662.97  662.97  662.97  662.97                                                                                                                                                     
   50 PIRAT.12 G   Gas         470.34  470.34  470.34  470.34  470.34                                                                                                                                                     
  230 PREDILECTA   Biomassa    128.15  128.15  128.15  128.15  128.15                                                                                                                                                     
    9 R.SILVEIRA   Gas         863.07  863.07  863.07  863.07  863.07                                                                                                                                                     
    4 ST.CRUZ 34   Oleo        310.41  310.41  310.41  310.41  310.41                                                                                                                                                     
   86 ST.CRUZ NOVA GNL         146.28  146.28  146.28  146.28  146.28                                                                                                                                                     
  146 STA VITORIA  Biomassa     90.00   90.00   90.00   90.00   90.00                                                                                                                                                     
  217 T LAGOAS_L1  Gas         187.67  187.67  187.67  187.67  187.67                                                                                                                                                     
  218 T LAGOAS_L13 Gas         302.22  302.22  302.22  302.22  302.22                                                                                                                                                     
  194 T.NORTE 2    Oleo        910.86  910.86  910.86  910.86  910.86                                                                                                                                                     
  223 TERMOIRAPE I Biomassa    126.59  126.59  126.59  126.59  126.59                                                                                                                                                     
   90 TERMOMACAE   Gas         513.67  513.67  513.67  513.67  513.67                                                                                                                                                     
   47 TERMORIO     Gas         223.60  223.60  223.60  223.60  223.60                                                                                                                                                     
  215 TERMORIO_L1  Gas         223.60  223.60  223.60  223.60  223.60                                                                                                                                                     
  216 TERMORIO_L13 Gas         305.16  305.16  305.16  305.16  305.16                                                                                                                                                     
   68 TRES LAGOAS  Gas         187.67  187.67  187.67  187.67  187.67                                                                                                                                                     
  236 VALE AZUL II Gas          85.01   85.01   85.01   85.01   85.01                                                                                                                                                     
   49 VIANA        Oleo        623.76  623.76  623.76  623.76  623.76                                                                                                                                                     
  108 XAVANTES     Diesel     1269.68 1269.68 1269.68 1269.68 1269.68                                                                                                                                                     
   48 ARAUCARIA    Gas         710.65  710.65  710.65  710.65  710.65                                                                                                                                                     
   37 ARGENTINA 1  CONTRATO     43.02   43.02   43.02   43.02   43.02                                                                                                                                                     
   71 ARGENTINA 1B CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   38 ARGENTINA 2A CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   39 ARGENTINA 2B CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   40 ARGENTINA 2C CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
   59 ARGENTINA 2D CONTRATO     53.10   53.10   53.10   53.10   53.10                                                                                                                                                     
  237 CAMBARA      Biomassa    162.00  162.00  162.00  162.00  162.00                                                                                                                                                     
  156 CANDIOTA 3   Carvao       81.20   81.20   81.20   81.20   81.20                                                                                                                                                     
   64 CANOAS       Diesel      698.14  698.14  698.14  698.14  698.14                                                                                                                                                     
  169 CISFRAMA     Biomassa    290.93  290.93  290.93  290.93  290.93                                                                                                                                                     
   28 FIGUEIRA     Carvao      475.68  475.68  475.68  475.68  475.68                                                                                                                                                     
   26 J.LACERDA A1 Carvao      238.56  238.56  238.56  238.56  238.56                                                                                                                                                     
   27 J.LACERDA A2 Carvao      217.89  217.89  217.89  217.89  217.89                                                                                                                                                     
   25 J.LACERDA B  Carvao      209.48  209.48  209.48  209.48  209.48                                                                                                                                                     
   24 J.LACERDA C  Carvao      178.91  178.91  178.91  178.91  178.91                                                                                                                                                     
   30 NUTEPA       Oleo        780.00  780.00  780.00  780.00  780.00                                                                                                                                                     
   22 P.MEDICI A   Carvao      115.90  115.90  115.90  115.90  115.90                                                                                                                                                     
   23 P.MEDICI B   Carvao      115.90  115.90  115.90  115.90  115.90                                                                                                                                                     
  107 PAMPA SUL    Carvao       52.50   52.50   52.50   52.50   52.50                                                                                                                                                     
   32 S.JERONIMO   Carvao      248.31  248.31  248.31  248.31  248.31                                                                                                                                                     
  149 SAO SEPE     Biomassa     71.72   71.72   71.72   71.72   71.72                                                                                                                                                     
   35 URUGUAIANA   Gas         486.20  486.20  486.20  486.20  486.20                                                                                                                                                     
  109 ALTOS        Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  111 ARACATI      Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  112 BAHIA I      Oleo        613.33  613.33  613.33  613.33  613.33                                                                                                                                                     
  113 BATURITE     Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  235 CAMACARI MII Diesel     1621.85 1621.85 1621.85 1621.85 1621.85                                                                                                                                                     
  166 CAMACARI PI  Oleo        678.75  678.75  678.75  678.75  678.75                                                                                                                                                     
   52 CAMPINA GDE  Oleo        623.77  623.77  623.77  623.77  623.77                                                                                                                                                     
  117 CAMPO MAIOR  Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  119 CAUCAIA      Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  121 CRATO        Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  125 ENGUIA PECEM Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  106 ERB CANDEIAS Biomassa     60.00   60.00   60.00   60.00   60.00                                                                                                                                                     
   74 FAFEN        Gas         345.02  345.02  345.02  345.02  345.02                                                                                                                                                     
   42 FORTALEZA    Gas         139.88  139.88  139.88  139.88  139.88                                                                                                                                                     
   53 GLOBAL I     Oleo        707.60  707.60  707.60  707.60  707.60                                                                                                                                                     
   55 GLOBAL II    Oleo        707.60  707.60  707.60  707.60  707.60                                                                                                                                                     
  127 IGUATU       Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  133 JUAZEIRO N   Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
   57 MARACANAU I  Oleo        603.30  603.30  603.30  603.30  603.30                                                                                                                                                     
  135 MARAMBAIA    Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  164 MURICY       Oleo        678.75  678.75  678.75  678.75  678.75                                                                                                                                                     
  138 NAZARIA      Diesel      764.06  764.06  764.06  764.06  764.06                                                                                                                                                     
  167 P. PECEM I   Carvao      209.45  209.45  209.45  209.45  209.45                                                                                                                                                     
  163 P. PECEM II  Carvao      216.30  216.30  216.30  216.30  216.30                                                                                                                                                     
  224 P. SERGIPE I Gas         204.30  204.30  204.30  204.30  204.30                                                                                                                                                     
  160 PAU FERRO I  Diesel      966.46  966.46  966.46  966.46  966.46                                                                                                                                                     
  162 PECEM II     Diesel     1638.72 1638.72 1638.72 1638.72 1638.72                                                                                                                                                     
   98 PERNAMBU_III Oleo        532.25  532.25  532.25  532.25  532.25                                                                                                                                                     
  144 PETROLINA    Oleo        744.70  744.70  744.70  744.70  744.70                                                                                                                                                     
  151 POTIGUAR     Diesel      847.61  847.61  847.61  847.61  847.61                                                                                                                                                     
  161 POTIGUAR III Diesel      847.60  847.60  847.60  847.60  847.60                                                                                                                                                     
  147 PROSPERIDADE Gas         148.65  148.65  148.65  148.65  148.65                                                                                                                                                     
  170 SUAPE II     Oleo        629.52  629.52  629.52  629.52  629.52                                                                                                                                                     
  221 SYKUE I      Biomassa    510.12  510.12  510.12  510.12  510.12                                                                                                                                                     
   43 TERMOBAHIA   Gas         374.87  374.87  374.87  374.87  374.87                                                                                                                                                     
  152 TERMOCABO    Oleo        616.25  616.25  616.25  616.25  616.25                                                                                                                                                     
   58 TERMOCEARA   Gas         322.34  322.34  322.34  322.34  322.34                                                                                                                                                     
  159 TERMOMANAUS  Diesel      966.46  966.46  966.46  966.46  966.46                                                                                                                                                     
   67 TERMONE      Oleo        620.89  620.89  620.89  620.89  620.89                                                                                                                                                     
   69 TERMOPB      Oleo        620.89  620.89  620.89  620.89  620.89                                                                                                                                                     
   96 TERMOPE      Gas         134.44  134.44  134.44  134.44  134.44                                                                                                                                                     
   83 VALE DO ACU  Gas         450.86  450.86  450.86  450.86  450.86                                                                                                                                                     
  201 APARECIDA    Gas         302.19  302.19  302.19  302.19  302.19                                                                                                                                                     
  203 C. ROCHA     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  318 FLORES LT1   Diesel      868.35  868.35  868.35  868.35  868.35                                                                                                                                                     
  319 FLORES LT2   Diesel      883.17  883.17  883.17  883.17  883.17                                                                                                                                                     
   73 GERAMAR I    Oleo        623.75  623.75  623.75  623.75  623.75                                                                                                                                                     
   70 GERAMAR II   Oleo        623.75  623.75  623.75  623.75  623.75                                                                                                                                                     
  317 IRANDUBA     Oleo        856.49  856.49  856.49  856.49  856.49                                                                                                                                                     
  204 JARAQUI      Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  205 MANAUARA     Gas           0.00    0.00    0.00    0.00    0.00                                                                                                                                                     
  212 MARANHAO III Gas          76.94   76.94   76.94   76.94   76.94                                                                                                                                                     
