 NUM  POSTO         JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXX    XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX
 MESPLAN =          02  ANOPLAN=         2019
    1 CAMARGOS        190.00     98.00    110.00     60.00     44.00     39.00     33.00     39.00     39.00     72.00     96.00    164.00
    2 ITUTINGA        190.00     98.00    110.00     60.00     44.00     39.00     33.00     39.00     39.00     72.00     96.00    164.00
    6 FURNAS         1340.00    640.00    800.00    356.00    247.00    239.00    172.00    225.00    183.00    465.00    626.00   1115.00
    7 M. DE MORAE    1495.00    772.00    942.00    443.00    304.00    285.00    209.00    261.00    222.00    515.00    690.00   1229.00
    8 ESTREITO       1528.00    802.00    975.00    464.00    317.00    296.00    217.00    269.00    231.00    526.00    702.00   1249.00
    9 JAGUARA        1540.00    814.00    990.00    473.00    322.00    301.00    221.00    272.00    234.00    529.00    706.00   1255.00
   10 IGARAPAVA      1577.00    850.00   1030.00    499.00    338.00    314.00    232.00    282.00    244.00    541.00    720.00   1277.00
   11 VOLTA GRAND    1664.00    931.00   1114.00    552.00    373.00    342.00    254.00    304.00    268.00    570.00    755.00   1336.00
   12 P. COLOMBIA    1878.00   1108.00   1315.00    688.00    467.00    416.00    309.00    354.00    314.00    641.00    847.00   1493.00
   14 CACONDE          74.00     44.00     59.00     32.00     21.00     19.00     15.00     19.00     17.00     29.00     35.00     64.00
   15 E. DA CUNHA     121.00     71.00     98.00     52.00     34.00     31.00     25.00     31.00     27.00     46.00     56.00    103.00
   16 A.S.OLIVEIR     123.00     71.00    100.00     53.00     34.00     32.00     25.00     31.00     28.00     47.00     57.00    105.00
   17 MARIMBONDO     2501.00   1682.00   1871.00   1027.00    732.00    674.00    524.00    579.00    508.00    924.00   1172.00   2011.00
   18 A. VERMELHA    2791.00   2081.00   2205.00   1277.00    913.00    836.00    668.00    734.00    668.00   1061.00   1320.00   2224.00
   20 BOCAINA         250.00    154.00    197.00    112.00     65.00     51.00     39.00     35.00     33.00     63.00    105.00    212.00
   22 BATALHA         146.00    133.00    138.00     88.00     46.00     38.00     26.00     26.00     24.00     42.00     67.00    130.00
   23 CORUMBA III     206.00    162.00    178.00    156.00     83.00     60.00     45.00     39.00     33.00     70.00    108.00    180.00
   24 EMBORCACAO      681.00    438.00    559.00    317.00    183.00    146.00    110.00     98.00     93.00    188.00    305.00    591.00
   25 NOVA PONTE      400.00    278.00    234.00    175.00    126.00    104.00     88.00     76.00     71.00    138.00    195.00    339.00
   28 CAPIM BRANC     485.00    295.00    265.00    191.00    136.00    112.00     94.00     81.00     77.00    174.00    240.00    411.00
