,tEn,gUHE,gUN,gUSolar,gUWind,load,ENA,AfSum,uAfSum
2016-10-01,70826,28518.09423547,2013.97064037,0.44246258,11.15289508,37703.12219417,19836,51362,8019.019999999998
2016-11-01,68055,29694.81061907,1200.78767068,0.40395217,11.00015271,37402.36663729,27150,73848,17252.29
2016-12-01,68612,33698.46112159,1185.61030845,0.42623527,8.32606514,37599.09948698,36708,103779,32490.570000000003
2017-01-01,75909,35483.63767092,1937.05332521,0.41759883,14.66838402,39921.23333548,43926,140221,59120.16999999999
2017-02-01,82112,36459.06987787,1784.09988414,0.41972883,7.33746044,41016.37524973,49325,155365,68615.41
2017-03-01,84294,35252.80075112,1776.36746884,0.40797262,7.15695472,40531.7025195,45477,161129,85872.73000000001
2017-04-01,85117,30826.541615900005,1999.45841136,0.34823969,5.31887905,37778.24278557,38854,140246,76632.88
2017-05-01,88088,29412.16991426,1905.80741279,0.27128681,5.86868505,36915.27798084,38796,130740,64180.6
2017-06-01,85638,26903.90220411,1748.99729255,0.28320579,4.1469946,36555.45979111,33779,107378,48152.94
2017-07-01,77600,25388.07537588,1913.79233991,0.31236191,4.58604192,35352.02202723,20006,62746,22262.470000000005
2017-08-01,66083,25513.07221635,1719.03952259,0.36205668,9.1382102,36575.59673649,17251,48909,11418.899999999998
2017-09-01,49225,26497.30719578,1361.09211661,8.65958559,16.3809277,38263.81691628,12801,36852,8207.53
2017-10-01,35804,27327.40686275,1596.70548619,41.82822091,13.60024753,39024.64011509,15858,42945,7944.9
2017-11-01,38098,28480.75716362,2004.55669133,39.42202944,9.69900293,38233.1163888,31494,86834,24995.94
2017-12-01,45936,33726.35426618,1809.75416596,52.831565000000005,8.19373272,38434.79184789,44611,130123,47244.91
2018-01-01,63400,35203.96038454,1881.60332052,74.91272673,9.98659998,40070.25576101,62065,192759,87811.99
2018-02-01,75115,35302.25660749,1226.82925868,63.70484369,6.47917375,39930.85519573,56966,192142,98823.76
2018-03-01,86083,37374.23124165,1150.1592672,81.72441642,3.67481063,41864.0894168,59192,199459,105065.41
2018-04-01,89454,32470.08413872,1977.58930266,88.57243196,1.85771424,39562.78562019,48223,164455,90561.68
2018-05-01,86626,28456.67098703,2009.17146827,102.6705088,2.30897769,37317.51299009,30687,109959,60707.55999999999
2018-06-01,80832,27216.63562889,2008.9379657000002,105.61402883,4.24222721,37058.70379856,24455,83139,39348.76
2018-07-01,69705,26176.09246551,2007.28796389,120.33433652,4.7155607,37047.20278571,17710,54988,18858.980000000003
2018-08-01,56955,26937.72163453,2021.54739331,116.36769897,4.98691526,37382.22000492,16965,48840,12161.309999999998
2018-09-01,46692,23983.96484926,2012.13598567,133.2808752,7.35609876,38116.06171883,16273,44345,8360.529999999999
2018-10-01,41210,29492.01514729,1891.42867531,116.57652617,9.64055113,39305.40599252,25715,51060,10591.54
