,value
0,234.30256331255308
1,256.5452172635349
2,160.32622764884508
3,83.3815723672272
4,165.61621008319517
5,189.4602923827184
6,247.20845017701555
7,181.25861391550413
8,203.88726596475317
9,271.5620536649723
10,380.8818051596822
11,509.19809585913487
12,510.10588659094225
13,483.215465689774
14,393.9877825548533
15,365.18588808174184
16,316.3900964837782
17,284.4972453996041
18,303.17846174152083
19,382.50535129798806
20,374.53300412580825
21,364.10311644588757
22,445.48295508031947
23,475.9083567365397
24,412.7601342709297
25,417.58648042512493
26,312.64014383651323
