,value
0,239.5005144031355
1,215.37763655474058
2,203.75974057896454
3,82.79735039054431
4,42.78613817838442
5,25.19164190692565
6,179.07431368398792
7,229.89687333375383
8,335.3762420130383
9,218.04556064248754
10,334.6908378446598
11,437.06950352394
12,538.1209169040568
13,459.65459264562975
14,414.46046843635605
15,264.0667162706736
16,224.21297624702504
17,206.58056431825088
18,243.47802695477984
19,243.59179181964583
20,348.59799026740944
21,438.2689736692653
22,413.4371389678602
23,491.6706381857883
24,469.8076487287272
25,413.10254912688674
26,312.25187043977337
27,162.6192927012593
