,price
20,56.59784722222251
21,96.90145833333361
22,16.18289351851868
23,44.35298611111108
24,81.98314814814792
25,54.53738425925893
26,93.01974537037005
27,214.7389120370369
28,203.75148148148162
29,-32.41817129629602
30,158.37007870370405
31,346.2704398148151
32,290.0036064814817
33,253.0392731481481
34,78.37982870370342
35,-60.50297685185229
36,-88.50851851851904
37,-111.96178240740777
38,-127.71192129629642
39,-256.1160879629628
40,-42.7226851851848
41,190.44016203703762
42,231.6127414021169
43,190.2679001322754
44,117.8448842592591
45,-97.08571097883664
46,-257.36077050264646
47,-202.7566038359799
